EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DOVRE-LANNEM, NORWAY (STAID: 18073)
Blended and updated with sources:99718 100683 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18073,100683,19180601,   30,    1
 18073,100683,19180602,   57,    1
 18073,100683,19180603,   65,    1
 18073,100683,19180604,  102,    1
 18073,100683,19180605,  129,    1
 18073,100683,19180606,  134,    1
 18073,100683,19180607,  139,    1
 18073,100683,19180608,   60,    1
 18073,100683,19180609,   94,    1
 18073,100683,19180610,   87,    1
 18073,100683,19180611,   97,    1
 18073,100683,19180612,   91,    1
 18073,100683,19180613,   86,    1
 18073,100683,19180614,   64,    1
 18073,100683,19180615,   73,    1
 18073,100683,19180616,   63,    1
 18073,100683,19180617,   78,    1
 18073,100683,19180618,   76,    1
 18073,100683,19180619,   80,    1
 18073,100683,19180620,  103,    1
 18073,100683,19180621,  101,    1
 18073,100683,19180622,   75,    1
 18073,100683,19180623,   64,    1
 18073,100683,19180624,   69,    1
 18073,100683,19180625,   65,    1
 18073,100683,19180626,   71,    1
 18073,100683,19180627,   85,    1
 18073,100683,19180628,   90,    1
 18073,100683,19180629,  101,    1
 18073,100683,19180630,  122,    1
 18073,100683,19180701,  104,    1
 18073,100683,19180702,   90,    1
 18073,100683,19180703,  149,    1
 18073,100683,19180704,  109,    1
 18073,100683,19180705,  104,    1
 18073,100683,19180706,   75,    1
 18073,100683,19180707,   85,    1
 18073,100683,19180708,  114,    1
 18073,100683,19180709,  138,    1
 18073,100683,19180710,  146,    1
 18073,100683,19180711,  122,    1
 18073,100683,19180712,  122,    1
 18073,100683,19180713,  124,    1
 18073,100683,19180714,  113,    1
 18073,100683,19180715,  127,    1
 18073,100683,19180716,  144,    1
 18073,100683,19180717,  138,    1
 18073,100683,19180718,  149,    1
 18073,100683,19180719,  127,    1
 18073,100683,19180720,  115,    1
 18073,100683,19180721,  124,    1
 18073,100683,19180722,  154,    1
 18073,100683,19180723,  163,    1
 18073,100683,19180724,  174,    1
 18073,100683,19180725,  132,    1
 18073,100683,19180726,  146,    1
 18073,100683,19180727,  132,    1
 18073,100683,19180728,  144,    1
 18073,100683,19180729,  131,    1
 18073,100683,19180730,  132,    1
 18073,100683,19180731,  144,    1
 18073,100683,19180801,  151,    1
 18073,100683,19180802,  130,    1
 18073,100683,19180803,  144,    1
 18073,100683,19180804,  148,    1
 18073,100683,19180805,  145,    1
 18073,100683,19180806,  137,    1
 18073,100683,19180807,  119,    1
 18073,100683,19180808,  144,    1
 18073,100683,19180809,  139,    1
 18073,100683,19180810,  130,    1
 18073,100683,19180811,  160,    1
 18073,100683,19180812,  170,    1
 18073,100683,19180813,  112,    1
 18073,100683,19180814,  118,    1
 18073,100683,19180815,  110,    1
 18073,100683,19180816,   92,    1
 18073,100683,19180817,   96,    1
 18073,100683,19180818,   99,    1
 18073,100683,19180819,  101,    1
 18073,100683,19180820,  102,    1
 18073,100683,19180821,  102,    1
 18073,100683,19180822,   99,    1
 18073,100683,19180823,   71,    1
 18073,100683,19180824,   77,    1
 18073,100683,19180825,   65,    1
 18073,100683,19180826,   60,    1
 18073,100683,19180827,   72,    1
 18073,100683,19180828,   64,    1
 18073,100683,19180829,   91,    1
 18073,100683,19180830,   80,    1
 18073,100683,19180831,   55,    1
 18073,100683,19180901,   69,    1
 18073,100683,19180902,   67,    1
 18073,100683,19180903,   76,    1
 18073,100683,19180904,   56,    1
