EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FAGERNES LUFTHAMN, NORWAY (STAID: 18090)
Blended and updated with sources:99085 901368 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18090, 99085,20070530,  103,    0
 18090, 99085,20070531,   98,    0
 18090, 99085,20070601,   64,    0
 18090, 99085,20070602,  102,    0
 18090, 99085,20070603,  129,    0
 18090, 99085,20070604,  152,    0
 18090, 99085,20070605,  168,    0
 18090, 99085,20070606,  189,    0
 18090, 99085,20070607,  185,    0
 18090, 99085,20070608,  196,    0
 18090, 99085,20070609,  194,    0
 18090, 99085,20070610,  196,    0
 18090, 99085,20070611,  178,    0
 18090, 99085,20070612,  113,    0
 18090, 99085,20070613,   77,    0
 18090, 99085,20070614,   45,    0
 18090, 99085,20070615,   93,    0
 18090, 99085,20070616,  126,    0
 18090, 99085,20070617,   92,    0
 18090, 99085,20070618,  112,    0
 18090, 99085,20070619,  133,    0
 18090, 99085,20070620,  149,    0
 18090, 99085,20070621,  141,    0
 18090, 99085,20070622,  105,    0
 18090, 99085,20070623,  103,    0
 18090, 99085,20070624,  109,    0
 18090, 99085,20070625,  128,    0
 18090, 99085,20070626,  144,    0
 18090, 99085,20070627,  147,    0
 18090, 99085,20070628,  136,    0
 18090, 99085,20070629,   99,    0
 18090, 99085,20070630,  124,    0
 18090, 99085,20070701,  127,    0
 18090, 99085,20070702,  114,    0
 18090, 99085,20070703,  111,    0
 18090, 99085,20070704,  119,    0
 18090, 99085,20070705,  131,    0
 18090, 99085,20070706,  158,    0
 18090, 99085,20070707,  156,    0
 18090, 99085,20070708,  149,    0
 18090, 99085,20070709,  111,    0
 18090, 99085,20070710,  108,    0
 18090, 99085,20070711,  109,    0
 18090, 99085,20070712,  107,    0
 18090, 99085,20070713,  119,    0
 18090, 99085,20070714,  106,    0
 18090, 99085,20070715,  125,    0
 18090, 99085,20070716,  147,    0
 18090, 99085,20070717,  125,    0
 18090, 99085,20070718,  127,    0
 18090, 99085,20070719,  104,    0
 18090, 99085,20070720,  105,    0
 18090, 99085,20070721,  128,    0
 18090, 99085,20070722,  136,    0
 18090, 99085,20070723,  112,    0
 18090, 99085,20070724,  112,    0
 18090, 99085,20070725,  132,    0
 18090, 99085,20070726,  130,    0
 18090, 99085,20070727,  112,    0
 18090, 99085,20070728,  110,    0
 18090, 99085,20070729,  110,    0
 18090, 99085,20070730,  110,    0
 18090, 99085,20070731,  117,    0
 18090, 99085,20070801,  103,    0
 18090, 99085,20070802,  114,    0
 18090, 99085,20070803,  111,    0
 18090, 99085,20070804,  110,    0
 18090, 99085,20070805,  141,    0
 18090, 99085,20070806,  155,    0
 18090, 99085,20070807,  169,    0
 18090, 99085,20070808,  155,    0
 18090, 99085,20070809,  172,    0
 18090, 99085,20070810,  159,    0
 18090, 99085,20070811,  150,    0
 18090, 99085,20070812,  161,    0
 18090, 99085,20070813,  149,    0
 18090, 99085,20070814,  115,    0
 18090, 99085,20070815,  118,    0
 18090, 99085,20070816,  116,    0
 18090, 99085,20070817,  102,    0
 18090, 99085,20070818,   87,    0
 18090, 99085,20070819,   87,    0
 18090, 99085,20070820,  113,    0
