EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LILLEHAMMER - SAETHERENGEN, NORWAY (STAID: 18092)
Blended and updated with sources:99088 100827 901378 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18092,100827,19570101,  -69,    0
 18092,100827,19570102, -112,    0
 18092,100827,19570103, -151,    0
 18092,100827,19570104, -111,    0
 18092,100827,19570105,    3,    0
 18092,100827,19570106,  -17,    0
 18092,100827,19570107,  -64,    0
 18092,100827,19570108,   12,    0
 18092,100827,19570109,   54,    0
 18092,100827,19570110,  -11,    0
 18092,100827,19570111,  -30,    0
 18092,100827,19570112,  -28,    0
 18092,100827,19570113,  -74,    0
 18092,100827,19570114, -185,    0
 18092,100827,19570115, -183,    0
 18092,100827,19570116,  -77,    0
 18092,100827,19570117,  -58,    0
 18092,100827,19570118, -112,    0
 18092,100827,19570119, -101,    0
 18092,100827,19570120,   22,    0
 18092,100827,19570121,   21,    0
 18092,100827,19570122,  -27,    0
 18092,100827,19570123,  -76,    0
 18092,100827,19570124,  -43,    0
 18092,100827,19570125,  -31,    0
 18092,100827,19570126,  -15,    0
 18092,100827,19570127,  -50,    0
 18092,100827,19570128, -102,    0
 18092,100827,19570129,  -12,    0
 18092,100827,19570130,  -78,    0
 18092,100827,19570131, -125,    0
 18092,100827,19570201,   -9,    0
 18092,100827,19570202,   -3,    0
 18092,100827,19570203,  -53,    0
 18092,100827,19570204,  -24,    0
 18092,100827,19570205,   21,    0
 18092,100827,19570206,   17,    0
 18092,100827,19570207,  -36,    0
 18092,100827,19570208,  -67,    0
 18092,100827,19570209,  -36,    0
 18092,100827,19570210,  -36,    0
 18092,100827,19570211, -124,    0
 18092,100827,19570212, -152,    0
 18092,100827,19570213,  -84,    0
 18092,100827,19570214,  -64,    0
 18092,100827,19570215,  -55,    0
 18092,100827,19570216,  -50,    0
 18092,100827,19570217,  -65,    0
 18092,100827,19570218,  -46,    0
 18092,100827,19570219,  -59,    0
 18092,100827,19570220,  -94,    0
 18092,100827,19570221, -124,    0
 18092,100827,19570222, -120,    0
 18092,100827,19570223, -104,    0
 18092,100827,19570224, -121,    0
 18092,100827,19570225, -151,    0
 18092,100827,19570226,  -94,    0
 18092,100827,19570227,  -76,    0
 18092,100827,19570228, -122,    0
 18092,100827,19570301, -103,    0
 18092,100827,19570302,  -74,    0
 18092,100827,19570303,  -25,    0
 18092,100827,19570304,  -39,    0
 18092,100827,19570305,  -50,    0
 18092,100827,19570306, -100,    0
 18092,100827,19570307,  -19,    0
 18092,100827,19570308,  -26,    0
 18092,100827,19570309,  -29,    0
 18092,100827,19570310,  -14,    0
 18092,100827,19570311,    3,    0
 18092,100827,19570312,   -2,    0
 18092,100827,19570313,    1,    0
 18092,100827,19570314,   18,    0
 18092,100827,19570315,  -32,    0
 18092,100827,19570316, -106,    0
 18092,100827,19570317, -113,    0
 18092,100827,19570318,  -84,    0
 18092,100827,19570319,  -81,    0
 18092,100827,19570320,  -87,    0
 18092,100827,19570321,  -60,    0
 18092,100827,19570322,  -45,    0
 18092,100827,19570323, -100,    0
 18092,100827,19570324, -120,    0
 18092,100827,19570325,  -87,    0
 18092,100827,19570326,  -21,    0
 18092,100827,19570327,    3,    0
 18092,100827,19570328,   43,    0
