EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station OERSTA - EITREFJELL, NORWAY (STAID: 18095)
Blended and updated with sources:99101 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18095, 99101,20141201,   20,    0
 18095, 99101,20141202,   11,    0
 18095, 99101,20141203,   55,    0
 18095, 99101,20141204,   41,    0
 18095, 99101,20141205,   31,    0
 18095, 99101,20141206,    1,    0
 18095, 99101,20141207,    2,    0
 18095, 99101,20141208,   -7,    0
 18095, 99101,20141209,   -6,    0
 18095, 99101,20141210,  -15,    0
 18095, 99101,20141211,  -11,    0
 18095, 99101,20141212,   -2,    0
 18095, 99101,20141213,  -30,    0
 18095, 99101,20141214,   -5,    0
 18095, 99101,20141215,  -38,    0
 18095, 99101,20141216,  -35,    0
 18095, 99101,20141217,  -11,    0
 18095, 99101,20141218,   -4,    0
 18095, 99101,20141219,  -23,    0
 18095, 99101,20141220,  -27,    0
 18095, 99101,20141221,  -18,    0
 18095, 99101,20141222,  -16,    0
 18095, 99101,20141223,  -24,    0
 18095, 99101,20141224,  -61,    0
 18095, 99101,20141225,  -82,    0
 18095, 99101,20141226,  -64,    0
 18095, 99101,20141227,  -70,    0
 18095, 99101,20141228,  -49,    0
 18095, 99101,20141229,  -10,    0
 18095, 99101,20141230,   23,    0
 18095, 99101,20141231,   37,    0
 18095, 99101,20150101,   23,    0
 18095, 99101,20150102,  -16,    0
 18095, 99101,20150103,  -36,    0
 18095, 99101,20150104,  -41,    0
 18095, 99101,20150105,    3,    0
 18095, 99101,20150106,   30,    0
 18095, 99101,20150107,    2,    0
 18095, 99101,20150108,   -5,    0
 18095, 99101,20150109,  -27,    0
 18095, 99101,20150110,  -12,    0
 18095, 99101,20150111,  -35,    0
 18095, 99101,20150112,  -14,    0
 18095, 99101,20150113,  -28,    0
 18095, 99101,20150114,  -27,    0
 18095, 99101,20150115,   -7,    0
 18095, 99101,20150116,   -1,    0
 18095, 99101,20150117,  -12,    0
 18095, 99101,20150118,  -36,    0
 18095, 99101,20150119,  -34,    0
 18095, 99101,20150120,  -41,    0
 18095, 99101,20150121,  -52,    0
 18095, 99101,20150122,  -73,    0
 18095, 99101,20150123,  -17,    0
 18095, 99101,20150124,  -21,    0
 18095, 99101,20150125,   -9,    0
 18095, 99101,20150126,  -10,    0
 18095, 99101,20150127,   -6,    0
 18095, 99101,20150128,   11,    0
 18095, 99101,20150129,  -29,    0
 18095, 99101,20150130,  -24,    0
 18095, 99101,20150131,  -45,    0
 18095, 99101,20150201,  -55,    0
 18095, 99101,20150202,  -39,    0
 18095, 99101,20150203,  -52,    0
 18095, 99101,20150204,  -52,    0
 18095, 99101,20150205,  -19,    0
 18095, 99101,20150206,    8,    0
 18095, 99101,20150207,  -33,    0
 18095, 99101,20150208,  -19,    0
 18095, 99101,20150209,   10,    0
 18095, 99101,20150210,   15,    0
 18095, 99101,20150211,   13,    0
 18095, 99101,20150212,   -3,    0
 18095, 99101,20150213,    5,    0
 18095, 99101,20150214,    3,    0
 18095, 99101,20150215,   23,    0
 18095, 99101,20150216,    6,    0
 18095, 99101,20150217,  -17,    0
 18095, 99101,20150218,   24,    0
 18095, 99101,20150219,   20,    0
 18095, 99101,20150220,   -9,    0
 18095, 99101,20150221,  -19,    0
 18095, 99101,20150222,  -39,    0
 18095, 99101,20150223,   -8,    0
 18095, 99101,20150224,   -2,    0
 18095, 99101,20150225,    2,    0
 18095, 99101,20150226,    2,    0
 18095, 99101,20150227,   -7,    0
 18095, 99101,20150228,    6,    0
 18095, 99101,20150301,   24,    0
 18095, 99101,20150302,  -15,    0
 18095, 99101,20150303,  -19,    0
 18095, 99101,20150304,  -29,    0
 18095, 99101,20150305,   -8,    0
 18095, 99101,20150306,   10,    0
 18095, 99101,20150307,   21,    0
 18095, 99101,20150308,    7,    0
 18095, 99101,20150309,   -9,    0
 18095, 99101,20150310,    7,    0
 18095, 99101,20150311,    0,    0
 18095, 99101,20150312,   11,    0
 18095, 99101,20150313,   30,    0
 18095, 99101,20150314,   -2,    0
 18095, 99101,20150315,   30,    0
 18095, 99101,20150316,   27,    0
 18095, 99101,20150317,   26,    0
 18095, 99101,20150318,   28,    0
 18095, 99101,20150319,    6,    0
 18095, 99101,20150320,   -9,    0
 18095, 99101,20150321,  -32,    0
 18095, 99101,20150322,    0,    0
 18095, 99101,20150323,    6,    0
 18095, 99101,20150324,  -14,    0
 18095, 99101,20150325,    1,    0
 18095, 99101,20150326,  -19,    0
 18095, 99101,20150327,  -16,    0
 18095, 99101,20150328,    9,    0
 18095, 99101,20150329,   -1,    0
 18095, 99101,20150330,  -26,    0
 18095, 99101,20150331,  -19,    0
 18095, 99101,20150401,  -31,    0
 18095, 99101,20150402,  -28,    0
 18095, 99101,20150403,  -28,    0
 18095, 99101,20150404,  -37,    0
 18095, 99101,20150405,   -1,    0
 18095, 99101,20150406,   22,    0
 18095, 99101,20150407,   14,    0
 18095, 99101,20150408,    9,    0
 18095, 99101,20150409,   22,    0
 18095, 99101,20150410,   43,    0
 18095, 99101,20150411,   44,    0
 18095, 99101,20150412,   -8,    0
 18095, 99101,20150413,  -32,    0
 18095, 99101,20150414,    2,    0
 18095, 99101,20150415,   -4,    0
 18095, 99101,20150416,  -14,    0
 18095, 99101,20150417,    0,    0
 18095, 99101,20150418,    9,    0
 18095, 99101,20150419,   36,    0
 18095, 99101,20150420,   57,    0
 18095, 99101,20150421,   20,    0
 18095, 99101,20150422,   18,    0
 18095, 99101,20150423,  -15,    0
 18095, 99101,20150424,  -21,    0
 18095, 99101,20150425,   -5,    0
 18095, 99101,20150426,  -13,    0
 18095, 99101,20150427,   -6,    0
 18095, 99101,20150428,    2,    0
 18095, 99101,20150429,    3,    0
 18095, 99101,20150430,   -9,    0
 18095, 99101,20150501,  -13,    0
 18095, 99101,20150502,  -17,    0
 18095, 99101,20150503,    3,    0
 18095, 99101,20150504,   45,    0
 18095, 99101,20150505,   67,    0
 18095, 99101,20150506,   74,    0
 18095, 99101,20150507,   44,    0
 18095, 99101,20150508,    7,    0
 18095, 99101,20150509,   23,    0
 18095, 99101,20150510,   20,    0
 18095, 99101,20150511,   47,    0
 18095, 99101,20150512,   43,    0
 18095, 99101,20150513,   23,    0
 18095, 99101,20150514,    6,    0
 18095, 99101,20150515,   37,    0
 18095, 99101,20150516,   26,    0
 18095, 99101,20150517,   22,    0
 18095, 99101,20150518,   41,    0
 18095, 99101,20150519,   51,    0
 18095, 99101,20150520,   19,    0
 18095, 99101,20150521,   40,    0
 18095, 99101,20150522,   15,    0
 18095, 99101,20150523,    4,    0
 18095, 99101,20150524,   27,    0
 18095, 99101,20150525,   28,    0
 18095, 99101,20150526,   27,    0
 18095, 99101,20150527,   28,    0
 18095, 99101,20150528,   50,    0
 18095, 99101,20150529,   38,    0
 18095, 99101,20150530,   43,    0
 18095, 99101,20150531,   29,    0
 18095, 99101,20150601,   25,    0
 18095, 99101,20150602,   40,    0
 18095, 99101,20150603,   23,    0
 18095, 99101,20150604,   28,    0
 18095, 99101,20150605,   58,    0
 18095, 99101,20150606,   79,    0
 18095, 99101,20150607,   37,    0
 18095, 99101,20150608,   26,    0
 18095, 99101,20150609,   40,    0
 18095, 99101,20150610,   47,    0
 18095, 99101,20150611,   49,    0
 18095, 99101,20150612,   47,    0
 18095, 99101,20150613,   29,    0
 18095, 99101,20150614,   14,    0
 18095, 99101,20150615,   13,    0
 18095, 99101,20150616,   44,    0
 18095, 99101,20150617,   57,    0
 18095, 99101,20150618,   50,    0
 18095, 99101,20150619,   60,    0
 18095, 99101,20150620,   71,    0
 18095, 99101,20150621,   96,    0
 18095, 99101,20150622,   95,    0
 18095, 99101,20150623,   44,    0
 18095, 99101,20150624,   40,    0
 18095, 99101,20150625,   46,    0
 18095, 99101,20150626,   62,    0
 18095, 99101,20150627,   94,    0
 18095, 99101,20150628,   95,    0
 18095, 99101,20150629,   81,    0
 18095, 99101,20150630,   85,    0
 18095, 99101,20150701,  136,    0
 18095, 99101,20150702,  201,    0
 18095, 99101,20150703,  139,    0
 18095, 99101,20150704,  112,    0
 18095, 99101,20150705,  165,    0
 18095, 99101,20150706,  118,    0
 18095, 99101,20150707,   72,    0
 18095, 99101,20150708,   62,    0
 18095, 99101,20150709,   49,    0
 18095, 99101,20150710,   54,    0
 18095, 99101,20150711,  105,    0
 18095, 99101,20150712,  115,    0
 18095, 99101,20150713,   85,    0
 18095, 99101,20150714,   70,    0
 18095, 99101,20150715,   65,    0
 18095, 99101,20150716,   51,    0
 18095, 99101,20150717,   87,    0
 18095, 99101,20150718,   85,    0
 18095, 99101,20150719,   84,    0
 18095, 99101,20150720,   88,    0
 18095, 99101,20150721,   91,    0
 18095, 99101,20150722,   87,    0
 18095, 99101,20150723,   73,    0
 18095, 99101,20150724,   73,    0
 18095, 99101,20150725,   85,    0
 18095, 99101,20150726,   92,    0
 18095, 99101,20150727,   76,    0
 18095, 99101,20150728,   86,    0
 18095, 99101,20150729,   91,    0
 18095, 99101,20150730,   68,    0
 18095, 99101,20150731,   54,    0
 18095, 99101,20150801,   91,    0
 18095, 99101,20150802,   79,    0
 18095, 99101,20150803,  102,    0
 18095, 99101,20150804,  149,    0
 18095, 99101,20150805,  128,    0
 18095, 99101,20150806,  134,    0
 18095, 99101,20150807,  109,    0
 18095, 99101,20150808,   89,    0
 18095, 99101,20150809,  109,    0
 18095, 99101,20150810,  134,    0
 18095, 99101,20150811,  107,    0
 18095, 99101,20150812,   74,    0
 18095, 99101,20150813,  115,    0
 18095, 99101,20150814,  160,    0
 18095, 99101,20150815,  180,    0
 18095, 99101,20150816,  150,    0
 18095, 99101,20150817,  150,    0
 18095, 99101,20150818,  170,    0
 18095, 99101,20150819,  179,    0
 18095, 99101,20150820,  165,    0
 18095, 99101,20150821,  171,    0
 18095, 99101,20150822,  168,    0
 18095, 99101,20150823,  174,    0
 18095, 99101,20150824,  169,    0
 18095, 99101,20150825,  160,    0
 18095, 99101,20150826,  139,    0
 18095, 99101,20150827,  116,    0
 18095, 99101,20150828,   85,    0
 18095, 99101,20150829,   92,    0
 18095, 99101,20150830,   94,    0
 18095, 99101,20150831,   96,    0
 18095, 99101,20150901,   89,    0
 18095, 99101,20150902,   97,    0
 18095, 99101,20150903,  112,    0
 18095, 99101,20150904,   72,    0
 18095, 99101,20150905,   56,    0
 18095, 99101,20150906,   53,    0
 18095, 99101,20150907,   74,    0
 18095, 99101,20150908,   86,    0
 18095, 99101,20150909,  129,    0
 18095, 99101,20150910,  136,    0
 18095, 99101,20150911,  139,    0
 18095, 99101,20150912,  123,    0
 18095, 99101,20150913,  124,    0
 18095, 99101,20150914,  142,    0
 18095, 99101,20150915,  128,    0
