EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station MALANGEN - PALFINNMOEN, NORWAY (STAID: 18148)
Blended and updated with sources:99242 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18148, 99242,20150930,   52,    0
 18148, 99242,20151001,   43,    0
 18148, 99242,20151002,   44,    0
 18148, 99242,20151003,   14,    0
 18148, 99242,20151004,   15,    0
 18148, 99242,20151005,   13,    0
 18148, 99242,20151006,   10,    0
 18148, 99242,20151007,   32,    0
 18148, 99242,20151008,   50,    0
 18148, 99242,20151009,   39,    0
 18148, 99242,20151010,   20,    0
 18148, 99242,20151011,   48,    0
 18148, 99242,20151012,   72,    0
 18148, 99242,20151013,   68,    0
 18148, 99242,20151014,   64,    0
 18148, 99242,20151015,   67,    0
 18148, 99242,20151016,   40,    0
 18148, 99242,20151017,   69,    0
 18148, 99242,20151018,   74,    0
 18148, 99242,20151019,   67,    0
 18148, 99242,20151020,   67,    0
 18148, 99242,20151021,   60,    0
 18148, 99242,20151022,   25,    0
 18148, 99242,20151023,   -1,    0
 18148, 99242,20151024,   71,    0
 18148, 99242,20151025,   44,    0
 18148, 99242,20151026,    6,    0
 18148, 99242,20151027,    4,    0
 18148, 99242,20151028,   28,    0
 18148, 99242,20151029,    0,    0
 18148, 99242,20151030,  -43,    0
 18148, 99242,20151031,   17,    0
 18148, 99242,20151101,   60,    0
 18148, 99242,20151102,   42,    0
 18148, 99242,20151103,   47,    0
 18148, 99242,20151104,   27,    0
 18148, 99242,20151105,   11,    0
 18148, 99242,20151106,  -18,    0
 18148, 99242,20151107,   30,    0
 18148, 99242,20151108,   38,    0
 18148, 99242,20151109,   46,    0
 18148, 99242,20151110,   41,    0
 18148, 99242,20151111,   28,    0
 18148, 99242,20151112,    2,    0
 18148, 99242,20151113,    0,    0
 18148, 99242,20151114,   22,    0
 18148, 99242,20151115,    9,    0
 18148, 99242,20151116,  -29,    0
 18148, 99242,20151117,   -1,    0
 18148, 99242,20151118,   -7,    0
 18148, 99242,20151119,  -37,    0
 18148, 99242,20151120,   -7,    0
 18148, 99242,20151121,  -43,    0
 18148, 99242,20151122, -113,    0
 18148, 99242,20151123,   -9,    0
 18148, 99242,20151124,   27,    0
 18148, 99242,20151125,   -8,    0
 18148, 99242,20151126,   11,    0
 18148, 99242,20151127,   12,    0
 18148, 99242,20151128,  -10,    0
 18148, 99242,20151129,   -6,    0
 18148, 99242,20151130,    9,    0
 18148, 99242,20151201,  -30,    0
 18148, 99242,20151202,    6,    0
 18148, 99242,20151203,   14,    0
 18148, 99242,20151204,   24,    0
 18148, 99242,20151205,   11,    0
 18148, 99242,20151206,   13,    0
 18148, 99242,20151207,   12,    0
 18148, 99242,20151208,   -1,    0
 18148, 99242,20151209,   10,    0
 18148, 99242,20151210,   -4,    0
 18148, 99242,20151211,  -35,    0
 18148, 99242,20151212,  -47,    0
 18148, 99242,20151213,  -43,    0
 18148, 99242,20151214,  -32,    0
 18148, 99242,20151215,  -36,    0
 18148, 99242,20151216,  -53,    0
 18148, 99242,20151217,  -59,    0
 18148, 99242,20151218,   15,    0
 18148, 99242,20151219,   12,    0
 18148, 99242,20151220,   23,    0
 18148, 99242,20151221,    1,    0
 18148, 99242,20151222,  -17,    0
 18148, 99242,20151223,    0,    0
 18148, 99242,20151224,   37,    0
 18148, 99242,20151225,   14,    0
 18148, 99242,20151226,  -43,    0
 18148, 99242,20151227,  -50,    0
 18148, 99242,20151228,  -71,    0
 18148, 99242,20151229,   -8,    0
 18148, 99242,20151230,   -7,    0
 18148, 99242,20151231,   34,    0
 18148, 99242,20160101,   26,    0
 18148, 99242,20160102,   10,    0
 18148, 99242,20160103,  -73,    0
 18148, 99242,20160104,  -89,    0
 18148, 99242,20160105, -133,    0
 18148, 99242,20160106, -163,    0
 18148, 99242,20160107, -207,    0
 18148, 99242,20160108, -182,    0
 18148, 99242,20160109, -105,    0
 18148, 99242,20160110,  -83,    0
 18148, 99242,20160111,  -91,    0
 18148, 99242,20160112, -101,    0
 18148, 99242,20160113, -150,    0
 18148, 99242,20160114, -168,    0
 18148, 99242,20160115, -125,    0
 18148, 99242,20160116,  -37,    0
 18148, 99242,20160117,  -45,    0
 18148, 99242,20160118, -134,    0
 18148, 99242,20160119, -189,    0
 18148, 99242,20160120, -170,    0
 18148, 99242,20160121, -104,    0
 18148, 99242,20160122,   13,    0
 18148, 99242,20160123,  -16,    0
 18148, 99242,20160124,  -75,    0
 18148, 99242,20160125,  -12,    0
 18148, 99242,20160126,  -19,    0
 18148, 99242,20160127,    5,    0
 18148, 99242,20160128,   -7,    0
 18148, 99242,20160129,   -7,    0
 18148, 99242,20160130,  -13,    0
 18148, 99242,20160131,   -8,    0
 18148, 99242,20160201,  -13,    0
 18148, 99242,20160202,  -69,    0
 18148, 99242,20160203,  -65,    0
 18148, 99242,20160204,  -68,    0
 18148, 99242,20160205,  -74,    0
 18148, 99242,20160206,  -50,    0
 18148, 99242,20160207,  -23,    0
 18148, 99242,20160208,  -17,    0
 18148, 99242,20160209,   -6,    0
 18148, 99242,20160210,  -41,    0
 18148, 99242,20160211,  -59,    0
 18148, 99242,20160212,  -72,    0
 18148, 99242,20160213,  -83,    0
 18148, 99242,20160214,  -38,    0
 18148, 99242,20160215,  -71,    0
 18148, 99242,20160216,  -21,    0
 18148, 99242,20160217,   23,    0
 18148, 99242,20160218,   21,    0
 18148, 99242,20160219,   -6,    0
 18148, 99242,20160220,  -17,    0
 18148, 99242,20160221,    4,    0
 18148, 99242,20160222,  -16,    0
 18148, 99242,20160223,  -34,    0
 18148, 99242,20160224,  -47,    0
 18148, 99242,20160225,  -95,    0
 18148, 99242,20160226, -113,    0
 18148, 99242,20160227,  -73,    0
 18148, 99242,20160228,  -35,    0
 18148, 99242,20160229,   -8,    0
 18148, 99242,20160301,   -2,    0
 18148, 99242,20160302,  -21,    0
 18148, 99242,20160303,  -33,    0
 18148, 99242,20160304,  -16,    0
 18148, 99242,20160305,  -14,    0
 18148, 99242,20160306,   -7,    0
 18148, 99242,20160307,   -1,    0
 18148, 99242,20160308,  -14,    0
 18148, 99242,20160309,  -61,    0
 18148, 99242,20160310,  -56,    0
 18148, 99242,20160311,    4,    0
 18148, 99242,20160312,   41,    0
 18148, 99242,20160313,   32,    0
 18148, 99242,20160314,   28,    0
 18148, 99242,20160315,   47,    0
 18148, 99242,20160316,    7,    0
 18148, 99242,20160317,  -41,    0
 18148, 99242,20160318,  -56,    0
 18148, 99242,20160319,  -55,    0
 18148, 99242,20160320,  -69,    0
 18148, 99242,20160321,  -74,    0
 18148, 99242,20160322,  -86,    0
