EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TAMOKDALEN, NORWAY (STAID: 18173)
Blended and updated with sources:99312 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18173, 99312,20140901,   92,    0
 18173, 99312,20140902,  121,    0
 18173, 99312,20140903,  123,    0
 18173, 99312,20140904,   96,    0
 18173, 99312,20140905,   82,    0
 18173, 99312,20140906,   78,    0
 18173, 99312,20140907,   61,    0
 18173, 99312,20140908,   75,    0
 18173, 99312,20140909,  113,    0
 18173, 99312,20140910,  109,    0
 18173, 99312,20140911,  119,    0
 18173, 99312,20140912,   57,    0
 18173, 99312,20140913,   90,    0
 18173, 99312,20140914,   73,    0
 18173, 99312,20140915,   31,    0
 18173, 99312,20140916,   27,    0
 18173, 99312,20140917,   46,    0
 18173, 99312,20140918,   34,    0
 18173, 99312,20140919,   20,    0
 18173, 99312,20140920,   36,    0
 18173, 99312,20140921,   22,    0
 18173, 99312,20140922,  -19,    0
 18173, 99312,20140923,    4,    0
 18173, 99312,20140924,   15,    0
 18173, 99312,20140925,   33,    0
 18173, 99312,20140926,   32,    0
 18173, 99312,20140927,   61,    0
 18173, 99312,20140928,   49,    0
 18173, 99312,20140929,   35,    0
 18173, 99312,20140930,   26,    0
 18173, 99312,20141001,   29,    0
 18173, 99312,20141002,   42,    0
 18173, 99312,20141003,   67,    0
 18173, 99312,20141004,   63,    0
