EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KVALOEYSLETTA, NORWAY (STAID: 18193)
Blended and updated with sources:99122 99370 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18193, 99122,20111001,-9999,    9
 18193, 99122,20111002,-9999,    9
 18193, 99122,20111003,-9999,    9
 18193, 99122,20111004,-9999,    9
 18193, 99122,20111005,-9999,    9
 18193, 99122,20111006,-9999,    9
 18193, 99122,20111007,-9999,    9
 18193, 99122,20111008,-9999,    9
 18193, 99122,20111009,-9999,    9
 18193, 99122,20111010,-9999,    9
 18193, 99122,20111011,-9999,    9
 18193, 99122,20111012,-9999,    9
 18193, 99122,20111013,-9999,    9
 18193, 99122,20111014,-9999,    9
 18193, 99122,20111015,-9999,    9
 18193, 99122,20111016,-9999,    9
 18193, 99122,20111017,-9999,    9
 18193, 99122,20111018,-9999,    9
 18193, 99122,20111019,-9999,    9
 18193, 99122,20111020,-9999,    9
 18193, 99370,20111021,   41,    0
 18193, 99370,20111022,   25,    0
 18193, 99370,20111023,   50,    0
 18193, 99370,20111024,   80,    0
 18193, 99370,20111025,  102,    0
 18193, 99370,20111026,   56,    0
 18193, 99370,20111027,   65,    0
 18193, 99370,20111028,   51,    0
 18193, 99370,20111029,   56,    0
 18193, 99370,20111030,   73,    0
 18193, 99370,20111031,   35,    0
 18193, 99370,20111101,   57,    0
 18193, 99370,20111102,   60,    0
 18193, 99370,20111103,   25,    0
 18193, 99370,20111104,   43,    0
 18193, 99370,20111105,   76,    0
 18193, 99370,20111106,   80,    0
 18193, 99370,20111107,   59,    0
 18193, 99370,20111108,   46,    0
 18193, 99370,20111109,   61,    0
 18193, 99370,20111110,   78,    0
 18193, 99370,20111111,   80,    0
 18193, 99370,20111112,   67,    0
 18193, 99370,20111113,   55,    0
 18193, 99370,20111114,   -9,    0
 18193, 99370,20111115,   10,    0
 18193, 99370,20111116,   52,    0
 18193, 99370,20111117,   17,    0
 18193, 99370,20111118,    5,    0
 18193, 99370,20111119,  -28,    0
 18193, 99370,20111120,  -34,    0
 18193, 99370,20111121,    7,    0
 18193, 99370,20111122,   65,    0
 18193, 99370,20111123,   59,    0
 18193, 99370,20111124,   35,    0
 18193, 99370,20111125,   31,    0
 18193, 99370,20111126,   22,    0
 18193, 99370,20111127,    3,    0
 18193, 99370,20111128,   -8,    0
 18193, 99370,20111129,   18,    0
 18193, 99370,20111130,   45,    0
 18193, 99370,20111201,   35,    0
 18193, 99370,20111202,   22,    0
 18193, 99370,20111203,    4,    0
 18193, 99370,20111204,   20,    0
 18193, 99370,20111205,    8,    0
 18193, 99370,20111206,    2,    0
 18193, 99370,20111207,  -14,    0
 18193, 99370,20111208,  -45,    0
 18193, 99370,20111209,  -37,    0
 18193, 99370,20111210,  -14,    0
 18193, 99370,20111211,  -10,    0
 18193, 99370,20111212,  -30,    0
 18193, 99370,20111213,  -28,    0
 18193, 99370,20111214,   21,    0
 18193, 99370,20111215,   31,    0
 18193, 99370,20111216,   16,    0
 18193, 99370,20111217,  -12,    0
 18193, 99370,20111218,  -25,    0
 18193, 99370,20111219,   -2,    0
 18193, 99370,20111220,    9,    0
 18193, 99370,20111221,   13,    0
 18193, 99370,20111222,   -2,    0
 18193, 99370,20111223,   30,    0
 18193, 99370,20111224,   14,    0
 18193, 99370,20111225,   27,    0
 18193, 99370,20111226,   11,    0
 18193, 99370,20111227,   -9,    0
 18193, 99370,20111228,   -8,    0
 18193, 99370,20111229,  -24,    0
 18193, 99370,20111230,  -41,    0
 18193, 99370,20111231,  -69,    0
 18193, 99370,20120101,   -5,    0
 18193, 99370,20120102,    0,    0
 18193, 99370,20120103,   -9,    0
 18193, 99370,20120104,   -7,    0
 18193, 99370,20120105,  -65,    0
 18193, 99370,20120106,  -68,    0
 18193, 99370,20120107,  -50,    0
 18193, 99370,20120108,  -39,    0
 18193, 99370,20120109,  -36,    0
 18193, 99370,20120110,  -37,    0
 18193, 99370,20120111,  -13,    0
 18193, 99370,20120112,  -53,    0
 18193, 99370,20120113,  -57,    0
 18193, 99370,20120114,  -38,    0
 18193, 99370,20120115,   18,    0
 18193, 99370,20120116,    6,    0
 18193, 99370,20120117,   16,    0
 18193, 99370,20120118,   15,    0
 18193, 99370,20120119,  -15,    0
 18193, 99370,20120120,  -42,    0
 18193, 99370,20120121,  -54,    0
 18193, 99370,20120122,  -56,    0
 18193, 99370,20120123,  -70,    0
 18193, 99370,20120124,  -54,    0
 18193, 99370,20120125,  -37,    0
 18193, 99370,20120126,  -23,    0
 18193, 99370,20120127,  -25,    0
 18193, 99370,20120128,  -50,    0
 18193, 99370,20120129,  -75,    0
 18193, 99370,20120130,  -77,    0
 18193, 99370,20120131,  -52,    0
 18193, 99370,20120201,  -24,    0
 18193, 99370,20120202,  -59,    0
 18193, 99370,20120203,  -59,    0
 18193, 99370,20120204,  -78,    0
 18193, 99370,20120205, -128,    0
 18193, 99370,20120206, -164,    0
 18193, 99370,20120207,  -58,    0
 18193, 99370,20120208,   26,    0
 18193, 99370,20120209,   30,    0
 18193, 99370,20120210,   31,    0
 18193, 99370,20120211,   10,    0
 18193, 99370,20120212,  -22,    0
 18193, 99370,20120213,  -29,    0
 18193, 99370,20120214,  -35,    0
 18193, 99370,20120215,  -43,    0
 18193, 99370,20120216,  -32,    0
 18193, 99370,20120217,   -9,    0
 18193, 99370,20120218,   -7,    0
 18193, 99370,20120219,  -14,    0
 18193, 99370,20120220,  -30,    0
 18193, 99370,20120221,  -18,    0
 18193, 99370,20120222,  -28,    0
 18193, 99370,20120223,  -32,    0
 18193, 99370,20120224,  -44,    0
 18193, 99370,20120225,  -42,    0
 18193, 99370,20120226,  -28,    0
 18193, 99370,20120227,   -8,    0
 18193, 99370,20120228,   -4,    0
 18193, 99370,20120229,   -6,    0
 18193, 99370,20120301,   15,    0
 18193, 99370,20120302,    1,    0
 18193, 99370,20120303,  -19,    0
 18193, 99370,20120304,  -22,    0
 18193, 99370,20120305,  -32,    0
 18193, 99370,20120306,  -36,    0
 18193, 99370,20120307,  -13,    0
 18193, 99370,20120308,    4,    0
 18193, 99370,20120309,   19,    0
 18193, 99370,20120310,    5,    0
 18193, 99370,20120311,   -4,    0
 18193, 99370,20120312,   -1,    0
 18193, 99370,20120313,  -15,    0
 18193, 99370,20120314,   -6,    0
 18193, 99370,20120315,   24,    0
 18193, 99370,20120316,   12,    0
 18193, 99370,20120317,  -20,    0
 18193, 99370,20120318,    2,    0
 18193, 99370,20120319,   -3,    0
 18193, 99370,20120320,  -13,    0
 18193, 99370,20120321,  -25,    0
 18193, 99370,20120322,    4,    0
 18193, 99370,20120323,   15,    0
 18193, 99370,20120324,    3,    0
 18193, 99370,20120325,   -2,    0
 18193, 99370,20120326,    5,    0
 18193, 99370,20120327,   29,    0
 18193, 99370,20120328,   25,    0
 18193, 99370,20120329,   -6,    0
 18193, 99370,20120330,  -35,    0
 18193, 99370,20120331,  -32,    0
 18193, 99370,20120401,  -37,    0
 18193, 99370,20120402,  -52,    0
 18193, 99370,20120403,  -40,    0
 18193, 99370,20120404,  -38,    0
 18193, 99370,20120405,  -49,    0
 18193, 99370,20120406,  -45,    0
 18193, 99370,20120407,  -17,    0
 18193, 99370,20120408,  -23,    0
 18193, 99370,20120409,  -18,    0
 18193, 99370,20120410,   -6,    0
 18193, 99370,20120411,    4,    0
 18193, 99370,20120412,   10,    0
 18193, 99370,20120413,    3,    0
 18193, 99370,20120414,   -4,    0
 18193, 99370,20120415,  -16,    0
 18193, 99370,20120416,   -6,    0
 18193, 99370,20120417,    2,    0
 18193, 99370,20120418,    0,    0
 18193, 99370,20120419,   -7,    0
 18193, 99370,20120420,    6,    0
 18193, 99370,20120421,   17,    0
 18193, 99370,20120422,   18,    0
 18193, 99370,20120423,   16,    0
 18193, 99370,20120424,   25,    0
 18193, 99370,20120425,   45,    0
 18193, 99370,20120426,   61,    0
 18193, 99370,20120427,   56,    0
 18193, 99370,20120428,   26,    0
 18193, 99370,20120429,   24,    0
 18193, 99370,20120430,   17,    0
 18193, 99370,20120501,   -1,    0
 18193, 99370,20120502,   14,    0
 18193, 99370,20120503,   -1,    0
 18193, 99370,20120504,    7,    0
 18193, 99370,20120505,   23,    0
 18193, 99370,20120506,    7,    0
 18193, 99370,20120507,   18,    0
