EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TYNSET - HANSMOEN, NORWAY (STAID: 18199)
Blended and updated with sources:99391 99546 100595 100909 100926 901265 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18199,100926,19570101, -122,    0
 18199,100926,19570102, -152,    0
 18199,100926,19570103, -221,    0
 18199,100926,19570104, -105,    0
 18199,100926,19570105,    8,    0
 18199,100926,19570106,  -42,    0
 18199,100926,19570107, -100,    0
 18199,100926,19570108,   73,    0
 18199,100926,19570109,   37,    0
 18199,100926,19570110,  -28,    0
 18199,100926,19570111,  -43,    0
 18199,100926,19570112,  -43,    0
 18199,100926,19570113, -145,    0
 18199,100926,19570114, -334,    0
 18199,100926,19570115, -174,    0
 18199,100926,19570116,   17,    0
 18199,100926,19570117,  -59,    0
 18199,100926,19570118, -112,    0
 18199,100926,19570119,   18,    0
 18199,100926,19570120,   52,    0
 18199,100926,19570121,   -6,    0
 18199,100926,19570122,  -46,    0
 18199,100926,19570123, -148,    0
 18199,100926,19570124,  -60,    0
 18199,100926,19570125,  -79,    0
 18199,100926,19570126,  -73,    0
 18199,100926,19570127,  -75,    0
 18199,100926,19570128, -149,    0
 18199,100926,19570129,   -1,    0
 18199,100926,19570130, -162,    0
 18199,100926,19570131,  -98,    0
 18199,100926,19570201,   -8,    0
 18199,100926,19570202,   -8,    0
 18199,100926,19570203,  -36,    0
 18199,100926,19570204,  -37,    0
 18199,100926,19570205,   13,    0
 18199,100926,19570206,    3,    0
 18199,100926,19570207,  -47,    0
 18199,100926,19570208, -111,    0
 18199,100926,19570209,  -58,    0
 18199,100926,19570210,  -63,    0
 18199,100926,19570211, -202,    0
 18199,100926,19570212, -260,    0
 18199,100926,19570213,  -95,    0
 18199,100926,19570214, -116,    0
 18199,100926,19570215,  -92,    0
 18199,100926,19570216, -128,    0
 18199,100926,19570217, -163,    0
 18199,100926,19570218,  -93,    0
 18199,100926,19570219, -152,    0
 18199,100926,19570220, -108,    0
 18199,100926,19570221, -109,    0
 18199,100926,19570222,  -92,    0
 18199,100926,19570223,  -99,    0
 18199,100926,19570224, -143,    0
 18199,100926,19570225, -182,    0
 18199,100926,19570226, -120,    0
 18199,100926,19570227, -142,    0
 18199,100926,19570228, -172,    0
 18199,100926,19570301, -122,    0
 18199,100926,19570302,  -84,    0
 18199,100926,19570303,  -25,    0
 18199,100926,19570304,  -57,    0
 18199,100926,19570305,  -42,    0
 18199,100926,19570306,  -91,    0
 18199,100926,19570307,  -48,    0
 18199,100926,19570308,  -35,    0
 18199,100926,19570309,  -60,    0
 18199,100926,19570310,  -31,    0
 18199,100926,19570311,   -5,    0
 18199,100926,19570312,   -1,    0
 18199,100926,19570313,   19,    0
 18199,100926,19570314,  -13,    0
 18199,100926,19570315,  -49,    0
 18199,100926,19570316, -172,    0
 18199,100926,19570317, -128,    0
 18199,100926,19570318,  -84,    0
 18199,100926,19570319, -109,    0
 18199,100926,19570320,  -96,    0
 18199,100926,19570321,  -71,    0
 18199,100926,19570322,  -57,    0
 18199,100926,19570323, -146,    0
 18199,100926,19570324, -104,    0
 18199,100926,19570325,  -51,    0
 18199,100926,19570326,  -26,    0
 18199,100926,19570327,  -23,    0
 18199,100926,19570328,  -24,    0
 18199,100926,19570329,  -19,    0
 18199,100926,19570330,  -32,    0
 18199,100926,19570331,  -24,    0
 18199,100926,19570401,  -30,    0
 18199,100926,19570402,  -27,    0
 18199,100926,19570403,  -12,    0
 18199,100926,19570404,   42,    0
 18199,100926,19570405,   58,    0
 18199,100926,19570406,    5,    0
 18199,100926,19570407,    0,    0
 18199,100926,19570408,   13,    0
 18199,100926,19570409,   -6,    0
 18199,100926,19570410,  -25,    0
 18199,100926,19570411,  -57,    0
 18199,100926,19570412,  -89,    0
 18199,100926,19570413,  -63,    0
 18199,100926,19570414,  -38,    0
 18199,100926,19570415,  -64,    0
 18199,100926,19570416,    9,    0
 18199,100926,19570417,   11,    0
 18199,100926,19570418,   19,    0
 18199,100926,19570419,   35,    0
 18199,100926,19570420,   13,    0
 18199,100926,19570421,   15,    0
 18199,100926,19570422,   25,    0
 18199,100926,19570423,   37,    0
 18199,100926,19570424,   46,    0
 18199,100926,19570425,   24,    0
 18199,100926,19570426,   28,    0
 18199,100926,19570427,   31,    0
 18199,100926,19570428,   31,    0
 18199,100926,19570429,   16,    0
 18199,100926,19570430,   -5,    0
 18199,100926,19570501,    2,    0
 18199,100926,19570502,   15,    0
 18199,100926,19570503,   -8,    0
 18199,100926,19570504,    1,    0
 18199,100926,19570505,   -2,    0
 18199,100926,19570506,   -6,    0
 18199,100926,19570507,    1,    0
 18199,100926,19570508,   13,    0
 18199,100926,19570509,    7,    0
 18199,100926,19570510,   -3,    0
 18199,100926,19570511,   51,    0
 18199,100926,19570512,   79,    0
 18199,100926,19570513,   54,    0
 18199,100926,19570514,   39,    0
 18199,100926,19570515,   69,    0
 18199,100926,19570516,   61,    0
 18199,100926,19570517,   92,    0
 18199,100926,19570518,   86,    0
 18199,100926,19570519,   69,    0
 18199,100926,19570520,   73,    0
 18199,100926,19570521,   28,    0
 18199,100926,19570522,   53,    0
 18199,100926,19570523,   65,    0
 18199,100926,19570524,   75,    0
 18199,100926,19570525,   77,    0
 18199,100926,19570526,   83,    0
 18199,100926,19570527,   88,    0
 18199,100926,19570528,   66,    0
 18199,100926,19570529,   76,    0
 18199,100926,19570530,   88,    0
 18199,100926,19570531,   95,    0
 18199,100926,19570601,   59,    0
 18199,100926,19570602,   68,    0
 18199,100926,19570603,   93,    0
 18199,100926,19570604,   77,    0
 18199,100926,19570605,   65,    0
 18199,100926,19570606,   66,    0
 18199,100926,19570607,   66,    0
 18199,100926,19570608,   47,    0
 18199,100926,19570609,   53,    0
 18199,100926,19570610,   96,    0
 18199,100926,19570611,  123,    0
 18199,100926,19570612,   82,    0
 18199,100926,19570613,  115,    0
 18199,100926,19570614,  125,    0
 18199,100926,19570615,  144,    0
 18199,100926,19570616,  140,    0
 18199,100926,19570617,  143,    0
 18199,100926,19570618,   72,    0
 18199,100926,19570619,   51,    0
 18199,100926,19570620,   49,    0
 18199,100926,19570621,   54,    0
 18199,100926,19570622,   56,    0
 18199,100926,19570623,   64,    0
 18199,100926,19570624,   68,    0
 18199,100926,19570625,   68,    0
 18199,100926,19570626,   85,    0
 18199,100926,19570627,   88,    0
 18199,100926,19570628,   86,    0
 18199,100926,19570629,  105,    0
 18199,100926,19570630,  125,    0
 18199,100926,19570701,  119,    0
 18199,100926,19570702,  113,    0
 18199,100926,19570703,  109,    0
 18199,100926,19570704,   90,    0
 18199,100926,19570705,   95,    0
 18199,100926,19570706,   82,    0
 18199,100926,19570707,  100,    0
 18199,100926,19570708,  111,    0
 18199,100926,19570709,  128,    0
 18199,100926,19570710,  128,    0
 18199,100926,19570711,  120,    0
 18199,100926,19570712,  143,    0
 18199,100926,19570713,  135,    0
 18199,100926,19570714,  163,    0
 18199,100926,19570715,  135,    0
 18199,100926,19570716,  159,    0
 18199,100926,19570717,  149,    0
 18199,100926,19570718,  137,    0
 18199,100926,19570719,  168,    0
 18199,100926,19570720,  167,    0
 18199,100926,19570721,  188,    0
 18199,100926,19570722,  165,    0
 18199,100926,19570723,  165,    0
 18199,100926,19570724,  133,    0
 18199,100926,19570725,  125,    0
 18199,100926,19570726,  157,    0
 18199,100926,19570727,  154,    0
 18199,100926,19570728,  144,    0
 18199,100926,19570729,  172,    0
 18199,100926,19570730,  134,    0
 18199,100926,19570731,  132,    0
 18199,100926,19570801,  109,    0
 18199,100926,19570802,   71,    0
 18199,100926,19570803,   99,    0
 18199,100926,19570804,  137,    0
 18199,100926,19570805,  145,    0
 18199,100926,19570806,  138,    0
 18199,100926,19570807,  106,    0
 18199,100926,19570808,  104,    0
 18199,100926,19570809,  144,    0
 18199,100926,19570810,  109,    0
 18199,100926,19570811,  138,    0
 18199,100926,19570812,  117,    0
 18199,100926,19570813,   84,    0
 18199,100926,19570814,  102,    0
 18199,100926,19570815,  135,    0
 18199,100926,19570816,  120,    0
 18199,100926,19570817,  128,    0
 18199,100926,19570818,  130,    0
 18199,100926,19570819,  125,    0
 18199,100926,19570820,  106,    0
 18199,100926,19570821,   84,    0
 18199,100926,19570822,   60,    0
 18199,100926,19570823,   67,    0
 18199,100926,19570824,   90,    0
 18199,100926,19570825,   93,    0
 18199,100926,19570826,   89,    0
 18199,100926,19570827,  105,    0
 18199,100926,19570828,  100,    0
 18199,100926,19570829,  107,    0
 18199,100926,19570830,   92,    0
 18199,100926,19570831,   96,    0
 18199,100926,19570901,   97,    0
 18199,100926,19570902,   87,    0
 18199,100926,19570903,   86,    0
 18199,100926,19570904,   86,    0
 18199,100926,19570905,   47,    0
 18199,100926,19570906,   75,    0
 18199,100926,19570907,   61,    0
 18199,100926,19570908,  120,    0
 18199,100926,19570909,   91,    0
 18199,100926,19570910,   89,    0
 18199,100926,19570911,   88,    0
 18199,100926,19570912,   95,    0
 18199,100926,19570913,   67,    0
 18199,100926,19570914,   78,    0
 18199,100926,19570915,   82,    0
 18199,100926,19570916,   88,    0
 18199,100926,19570917,   86,    0
 18199,100926,19570918,   75,    0
 18199,100926,19570919,   22,    0
 18199,100926,19570920,   20,    0
 18199,100926,19570921,   13,    0
 18199,100926,19570922,   11,    0
 18199,100926,19570923,  -10,    0
 18199,100926,19570924,   26,    0
 18199,100926,19570925,   23,    0
 18199,100926,19570926,   29,    0
 18199,100926,19570927,   42,    0
 18199,100926,19570928,   27,    0
 18199,100926,19570929,    3,    0
 18199,100926,19570930,   15,    0
 18199,100926,19571001,   11,    0
 18199,100926,19571002,   42,    0
 18199,100926,19571003,   16,    0
 18199,100926,19571004,   22,    0
 18199,100926,19571005,    9,    0
 18199,100926,19571006,   -2,    0
 18199,100926,19571007,   20,    0
 18199,100926,19571008,   67,    0
 18199,100926,19571009,   60,    0
 18199,100926,19571010,   71,    0
 18199,100926,19571011,   61,    0
 18199,100926,19571012,   27,    0
 18199,100926,19571013,   65,    0
 18199,100926,19571014,    7,    0
 18199,100926,19571015,    2,    0
 18199,100926,19571016,   44,    0
