EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROALDSHORNET, NORWAY (STAID: 18200)
Blended and updated with sources:99392 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18200, 99392,20141004,   96,    0
 18200, 99392,20141005,   79,    0
 18200, 99392,20141006,   66,    0
 18200, 99392,20141007,   19,    0
 18200, 99392,20141008,   42,    0
 18200, 99392,20141009,   26,    0
 18200, 99392,20141010,   41,    0
 18200, 99392,20141011,   43,    0
 18200, 99392,20141012,   32,    0
 18200, 99392,20141013,   17,    0
 18200, 99392,20141014,   14,    0
 18200, 99392,20141015,    8,    0
 18200, 99392,20141016,   -5,    0
 18200, 99392,20141017,    4,    0
 18200, 99392,20141018,   25,    0
 18200, 99392,20141019,   54,    0
 18200, 99392,20141020,   41,    0
 18200, 99392,20141021,   40,    0
 18200, 99392,20141022,   15,    0
 18200, 99392,20141023,   41,    0
 18200, 99392,20141024,   40,    0
 18200, 99392,20141025,   26,    0
 18200, 99392,20141026,   26,    0
 18200, 99392,20141027,   12,    0
 18200, 99392,20141028,   28,    0
 18200, 99392,20141029,  -25,    0
 18200, 99392,20141030,  -28,    0
 18200, 99392,20141031,    1,    0
 18200, 99392,20141101,   67,    0
 18200, 99392,20141102,   36,    0
 18200, 99392,20141103,   13,    0
 18200, 99392,20141104,  -29,    0
 18200, 99392,20141105,  -41,    0
 18200, 99392,20141106,  -17,    0
 18200, 99392,20141107,   -4,    0
 18200, 99392,20141108,   23,    0
 18200, 99392,20141109,   27,    0
 18200, 99392,20141110,   26,    0
 18200, 99392,20141111,   11,    0
 18200, 99392,20141112,   18,    0
 18200, 99392,20141113,   30,    0
 18200, 99392,20141114,   28,    0
 18200, 99392,20141115,   24,    0
 18200, 99392,20141116,   27,    0
 18200, 99392,20141117,   15,    0
 18200, 99392,20141118,   -5,    0
 18200, 99392,20141119,    4,    0
 18200, 99392,20141120,  -14,    0
 18200, 99392,20141121,  -17,    0
 18200, 99392,20141122,  -20,    0
 18200, 99392,20141123,  -18,    0
 18200, 99392,20141124,  -13,    0
 18200, 99392,20141125,  -14,    0
 18200, 99392,20141126,  -13,    0
 18200, 99392,20141127,    9,    0
 18200, 99392,20141128,  -23,    0
 18200, 99392,20141129,  -43,    0
 18200, 99392,20141130,  -39,    0
 18200, 99392,20141201,   -9,    0
 18200, 99392,20141202,  -32,    0
 18200, 99392,20141203,   12,    0
 18200, 99392,20141204,   26,    0
 18200, 99392,20141205,  -14,    0
 18200, 99392,20141206,  -43,    0
 18200, 99392,20141207,  -37,    0
 18200, 99392,20141208,  -46,    0
 18200, 99392,20141209,  -47,    0
 18200, 99392,20141210,  -43,    0
 18200, 99392,20141211,  -43,    0
 18200, 99392,20141212,  -36,    0
 18200, 99392,20141213,  -57,    0
