EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station KRAKENES, NORWAY (STAID: 18232)
Blended and updated with sources:99479 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18232, 99479,19930101,-9999,    9
 18232, 99479,19930102,-9999,    9
 18232, 99479,19930103,-9999,    9
 18232, 99479,19930104,-9999,    9
 18232, 99479,19930105,-9999,    9
 18232, 99479,19930106,-9999,    9
 18232, 99479,19930107,   64,    1
 18232, 99479,19930108,-9999,    9
 18232, 99479,19930109,-9999,    9
 18232, 99479,19930110,-9999,    9
 18232, 99479,19930111,-9999,    9
 18232, 99479,19930112,-9999,    9
 18232, 99479,19930113,-9999,    9
 18232, 99479,19930114,-9999,    9
 18232, 99479,19930115,-9999,    9
 18232, 99479,19930116,-9999,    9
 18232, 99479,19930117,-9999,    9
 18232, 99479,19930118,-9999,    9
 18232, 99479,19930119,-9999,    9
 18232, 99479,19930120,-9999,    9
 18232, 99479,19930121,-9999,    9
 18232, 99479,19930122,-9999,    9
 18232, 99479,19930123,-9999,    9
 18232, 99479,19930124,-9999,    9
 18232, 99479,19930125,-9999,    9
 18232, 99479,19930126,-9999,    9
 18232, 99479,19930127,-9999,    9
 18232, 99479,19930128,-9999,    9
 18232, 99479,19930129,-9999,    9
 18232, 99479,19930130,-9999,    9
 18232, 99479,19930131,-9999,    9
 18232, 99479,19930201,-9999,    9
 18232, 99479,19930202,-9999,    9
 18232, 99479,19930203,-9999,    9
 18232, 99479,19930204,   46,    1
 18232, 99479,19930205,    7,    1
 18232, 99479,19930206,    6,    1
 18232, 99479,19930207,   46,    1
 18232, 99479,19930208,-9999,    9
 18232, 99479,19930209,   61,    1
 18232, 99479,19930210,-9999,    9
 18232, 99479,19930211,   47,    1
 18232, 99479,19930212,   54,    1
 18232, 99479,19930213,   62,    1
 18232, 99479,19930214,   58,    1
 18232, 99479,19930215,-9999,    9
 18232, 99479,19930216,   45,    1
 18232, 99479,19930217,   28,    1
 18232, 99479,19930218,   39,    1
 18232, 99479,19930219,   17,    1
 18232, 99479,19930220,   10,    1
 18232, 99479,19930221,    2,    1
 18232, 99479,19930222,    5,    1
 18232, 99479,19930223,   35,    1
 18232, 99479,19930224,   40,    1
 18232, 99479,19930225,   48,    1
 18232, 99479,19930226,    2,    1
 18232, 99479,19930227,   -1,    1
 18232, 99479,19930228,    4,    1
 18232, 99479,19930301,   13,    1
 18232, 99479,19930302,   13,    1
 18232, 99479,19930303,   15,    1
 18232, 99479,19930304,   29,    1
 18232, 99479,19930305,   42,    1
 18232, 99479,19930306,   53,    1
 18232, 99479,19930307,   58,    1
 18232, 99479,19930308,   50,    1
 18232, 99479,19930309,   37,    1
 18232, 99479,19930310,   13,    1
 18232, 99479,19930311,   28,    1
 18232, 99479,19930312,   62,    1
 18232, 99479,19930313,   84,    1
 18232, 99479,19930314,   92,    1
 18232, 99479,19930315,   69,    1
 18232, 99479,19930316,   44,    1
 18232, 99479,19930317,   52,    1
 18232, 99479,19930318,   33,    1
 18232, 99479,19930319,   35,    1
 18232, 99479,19930320,   52,    1
 18232, 99479,19930321,   46,    1
 18232, 99479,19930322,   46,    1
 18232, 99479,19930323,   26,    1
 18232, 99479,19930324,   18,    1
 18232, 99479,19930325,   35,    1
 18232, 99479,19930326,   34,    1
 18232, 99479,19930327,   43,    1
 18232, 99479,19930328,   28,    1
 18232, 99479,19930329,   27,    1
 18232, 99479,19930330,   42,    1
 18232, 99479,19930331,   46,    1
 18232, 99479,19930401,-9999,    9
 18232, 99479,19930402,   55,    1
 18232, 99479,19930403,   58,    1
 18232, 99479,19930404,   61,    1
 18232, 99479,19930405,   66,    1
 18232, 99479,19930406,   56,    1
 18232, 99479,19930407,   41,    1
 18232, 99479,19930408,   53,    1
 18232, 99479,19930409,   54,    1
 18232, 99479,19930410,   50,    1
 18232, 99479,19930411,   50,    1
 18232, 99479,19930412,   43,    1
 18232, 99479,19930413,   48,    1
 18232, 99479,19930414,   57,    1
 18232, 99479,19930415,   60,    1
 18232, 99479,19930416,   57,    1
 18232, 99479,19930417,   37,    1
 18232, 99479,19930418,   37,    1
 18232, 99479,19930419,   23,    1
 18232, 99479,19930420,-9999,    9
 18232, 99479,19930421,-9999,    9
 18232, 99479,19930422,   70,    1
 18232, 99479,19930423,  102,    1
 18232, 99479,19930424,  120,    1
 18232, 99479,19930425,   60,    1
 18232, 99479,19930426,   82,    1
 18232, 99479,19930427,-9999,    9
 18232, 99479,19930428,   73,    1
 18232, 99479,19930429,  101,    1
 18232, 99479,19930430,-9999,    9
