EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station TOFTE - RULLETO, NORWAY (STAID: 18247)
Blended and updated with sources:99264 99411 99524 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18247, 99264,20130101,   -4,    0
 18247, 99264,20130102,  -54,    0
 18247, 99264,20130103,    3,    0
 18247, 99411,20130104,    1,    0
 18247, 99411,20130105,  -10,    0
 18247, 99411,20130106,   -1,    1
 18247, 99411,20130107,    6,    0
 18247, 99411,20130108,   -2,    0
 18247, 99411,20130109,  -12,    1
 18247, 99411,20130110,  -16,    0
 18247, 99411,20130111,  -38,    0
 18247, 99411,20130112,  -92,    0
 18247, 99411,20130113, -108,    1
 18247, 99411,20130114, -112,    1
 18247, 99411,20130115,  -89,    1
 18247, 99411,20130116,  -88,    1
 18247, 99411,20130117,  -63,    1
 18247, 99411,20130118,  -81,    0
 18247, 99264,20130119, -150,    0
 18247, 99264,20130120,  -79,    0
 18247, 99264,20130121,  -86,    0
 18247, 99411,20130122, -127,    0
 18247, 99264,20130123, -165,    0
 18247, 99264,20130124, -127,    0
 18247, 99264,20130125, -144,    0
 18247, 99264,20130126,  -55,    0
 18247, 99264,20130127,  -43,    0
 18247, 99264,20130128,   -3,    0
 18247, 99411,20130129,    7,    0
 18247, 99411,20130130,   27,    0
 18247, 99411,20130131,   -1,    0
 18247, 99411,20130201,  -67,    0
 18247, 99411,20130202,  -87,    0
 18247, 99411,20130203,  -59,    0
 18247, 99411,20130204,  -20,    0
 18247, 99411,20130205,  -45,    1
 18247, 99411,20130206,  -15,    0
 18247, 99264,20130207,  -33,    0
 18247, 99264,20130208,  -67,    0
 18247, 99264,20130209,  -94,    0
 18247, 99264,20130210,  -69,    0
 18247, 99264,20130211,  -94,    0
 18247, 99411,20130212,  -45,    0
 18247, 99411,20130213,  -44,    1
 18247, 99264,20130214,  -30,    0
 18247, 99264,20130215,  -31,    0
 18247, 99264,20130216,  -17,    0
 18247, 99264,20130217,   -4,    0
 18247, 99411,20130218,   -2,    0
 18247, 99264,20130219,  -29,    0
 18247, 99411,20130220,  -69,    0
 18247, 99411,20130221, -120,    0
 18247, 99411,20130222,  -66,    0
 18247, 99264,20130223,  -20,    0
 18247, 99264,20130224,  -15,    0
 18247, 99264,20130225,  -49,    0
 18247, 99264,20130226,  -75,    0
 18247, 99411,20130227,  -36,    0
 18247, 99411,20130228,    3,    0
 18247, 99411,20130301,    1,    0
 18247, 99411,20130302,   24,    0
 18247, 99264,20130303,   18,    0
 18247, 99264,20130304,   10,    0
 18247, 99264,20130305,  -15,    0
 18247, 99411,20130306,    9,    0
 18247, 99411,20130307,  -25,    0
 18247, 99411,20130308,  -44,    0
 18247, 99411,20130309,  -54,    0
 18247, 99264,20130310,  -89,    0
 18247, 99411,20130311,  -77,    0
 18247, 99411,20130312,  -41,    0
 18247, 99264,20130313,  -70,    0
 18247, 99264,20130314, -111,    1
 18247, 99264,20130315,  -63,    0
 18247, 99264,20130316,  -18,    0
 18247, 99264,20130317,  -21,    0
 18247, 99264,20130318,  -39,    0
 18247, 99264,20130319,  -68,    0
 18247, 99264,20130320,  -56,    0
 18247, 99264,20130321,  -47,    0
 18247, 99264,20130322,  -70,    0
 18247, 99264,20130323,  -84,    1
 18247, 99264,20130324,  -51,    0
 18247, 99264,20130325,  -28,    0
 18247, 99264,20130326,  -19,    0
 18247, 99264,20130327,  -25,    0
 18247, 99264,20130328,  -25,    0
 18247, 99264,20130329,  -19,    0
 18247, 99264,20130330,  -19,    0
 18247, 99264,20130331,  -16,    0
 18247, 99264,20130401,   -5,    0
 18247, 99264,20130402,   -3,    0
 18247, 99264,20130403,   -6,    0
 18247, 99264,20130404,    9,    0
 18247, 99264,20130405,   24,    0
 18247, 99264,20130406,   -6,    0
 18247, 99264,20130407,    3,    0
 18247, 99264,20130408,  -13,    0
 18247, 99264,20130409,  -12,    0
 18247, 99264,20130410,   -3,    0
 18247, 99411,20130411,    8,    0
 18247, 99411,20130412,   15,    0
 18247, 99411,20130413,   29,    0
 18247, 99411,20130414,   31,    0
 18247, 99264,20130415,   44,    0
 18247, 99264,20130416,   34,    0
 18247, 99411,20130417,   74,    0
 18247, 99411,20130418,   65,    0
 18247, 99264,20130419,   57,    0
 18247, 99264,20130420,   41,    0
 18247, 99264,20130421,   24,    0
 18247, 99264,20130422,   45,    0
 18247, 99264,20130423,   86,    0
 18247, 99411,20130424,   68,    0
 18247, 99411,20130425,   68,    0
 18247, 99411,20130426,   67,    0
 18247, 99411,20130427,   60,    0
 18247, 99264,20130428,   38,    0
 18247, 99264,20130429,   55,    0
 18247, 99264,20130430,   77,    0
 18247, 99411,20130501,   49,    0
 18247, 99411,20130502,   68,    0
 18247, 99411,20130503,   48,    0
 18247, 99411,20130504,   61,    0
 18247, 99411,20130505,   85,    0
 18247, 99264,20130506,   90,    0
 18247, 99411,20130507,  122,    0
 18247, 99411,20130508,  117,    0
 18247, 99411,20130509,  104,    0
 18247, 99264,20130510,   80,    0
 18247, 99264,20130511,   89,    0
 18247, 99411,20130512,   87,    0
 18247, 99411,20130513,   73,    0
 18247, 99411,20130514,   64,    0
 18247, 99411,20130515,   88,    0
 18247, 99411,20130516,  167,    1
 18247, 99264,20130517,  144,    0
 18247, 99264,20130518,  183,    0
 18247, 99264,20130519,  191,    0
 18247, 99264,20130520,  147,    0
 18247, 99264,20130521,  130,    0
 18247, 99411,20130522,  132,    0
 18247, 99411,20130523,   92,    0
 18247, 99411,20130524,  111,    0
 18247, 99411,20130525,  154,    0
 18247, 99411,20130526,  178,    0
 18247, 99264,20130527,  132,    0
 18247, 99264,20130528,  142,    0
 18247, 99411,20130529,  154,    0
 18247, 99264,20130530,  140,    0
 18247, 99411,20130531,  179,    0
 18247, 99264,20130601,  164,    0
 18247, 99411,20130602,  155,    0
 18247, 99411,20130603,  144,    0
 18247, 99411,20130604,  128,    0
 18247, 99264,20130605,  119,    0
 18247, 99264,20130606,  110,    0
 18247, 99411,20130607,  132,    0
 18247, 99411,20130608,  147,    0
 18247, 99411,20130609,  147,    0
 18247, 99264,20130610,  155,    0
 18247, 99264,20130611,  149,    0
 18247, 99264,20130612,  122,    0
 18247, 99411,20130613,  136,    0
 18247, 99411,20130614,  158,    0
 18247, 99264,20130615,  145,    0
 18247, 99411,20130616,  117,    0
 18247, 99411,20130617,  154,    0
 18247, 99264,20130618,  158,    0
 18247, 99264,20130619,  150,    0
 18247, 99264,20130620,  158,    0
 18247, 99264,20130621,  158,    0
 18247, 99264,20130622,  158,    0
 18247, 99264,20130623,  144,    0
 18247, 99264,20130624,  144,    0
 18247, 99264,20130625,  156,    0
 18247, 99264,20130626,  136,    0
 18247, 99264,20130627,  147,    0
 18247, 99264,20130628,  139,    0
 18247, 99264,20130629,  123,    0
 18247, 99264,20130630,  150,    0
 18247, 99264,20130701,  144,    0
 18247, 99264,20130702,  139,    0
 18247, 99264,20130703,  133,    0
 18247, 99264,20130704,  146,    0
 18247, 99264,20130705,  179,    0
 18247, 99411,20130706,  163,    0
 18247, 99264,20130707,  190,    0
 18247, 99264,20130708,  176,    0
 18247, 99411,20130709,  164,    0
 18247, 99411,20130710,  167,    0
 18247, 99264,20130711,  163,    0
 18247, 99264,20130712,  189,    0
 18247, 99411,20130713,  161,    0
 18247, 99411,20130714,  165,    0
 18247, 99411,20130715,  174,    0
 18247, 99264,20130716,  165,    0
 18247, 99264,20130717,  197,    0
 18247, 99264,20130718,  203,    0
 18247, 99264,20130719,  203,    0
 18247, 99264,20130720,  189,    0
 18247, 99264,20130721,  199,    0
 18247, 99264,20130722,  184,    0
 18247, 99264,20130723,  177,    0
 18247, 99264,20130724,  180,    0
 18247, 99264,20130725,  203,    0
 18247, 99264,20130726,  187,    0
 18247, 99264,20130727,  184,    0
 18247, 99264,20130728,  186,    0
 18247, 99264,20130729,  185,    0
 18247, 99264,20130730,  163,    0
 18247, 99264,20130731,  155,    0
 18247, 99264,20130801,  173,    0
 18247, 99264,20130802,  175,    0
 18247, 99264,20130803,  180,    0
 18247, 99264,20130804,  170,    0
 18247, 99264,20130805,  168,    0
 18247, 99264,20130806,  170,    0
 18247, 99264,20130807,  185,    0
 18247, 99264,20130808,  155,    0
 18247, 99264,20130809,  157,    0
 18247, 99264,20130810,  154,    0
 18247, 99264,20130811,  154,    0
 18247, 99264,20130812,  133,    0
 18247, 99411,20130813,  131,    0
 18247, 99264,20130814,  150,    0
 18247, 99264,20130815,  155,    0
 18247, 99264,20130816,  163,    0
 18247, 99411,20130817,  166,    0
 18247, 99411,20130818,  157,    0
 18247, 99411,20130819,  149,    0
 18247, 99411,20130820,  140,    0
 18247, 99411,20130821,  138,    0
 18247, 99411,20130822,  150,    0
 18247, 99411,20130823,  149,    0
 18247, 99411,20130824,  145,    0
 18247, 99411,20130825,  137,    0
 18247, 99411,20130826,  142,    0
 18247, 99411,20130827,  157,    0
 18247, 99411,20130828,  156,    0
 18247, 99264,20130829,  153,    0
 18247, 99411,20130830,  150,    0
 18247, 99411,20130831,  141,    0
 18247, 99264,20130901,  124,    0
 18247, 99411,20130902,  139,    0
 18247, 99411,20130903,  146,    0
 18247, 99411,20130904,  159,    0
 18247, 99411,20130905,  159,    0
 18247, 99411,20130906,  155,    0
 18247, 99411,20130907,  148,    0
 18247, 99411,20130908,  150,    0
 18247, 99264,20130909,  161,    0
 18247, 99411,20130910,  148,    0
 18247, 99411,20130911,  136,    1
 18247, 99264,20130912,  133,    0
 18247, 99411,20130913,  121,    0
 18247, 99411,20130914,  135,    0
 18247, 99411,20130915,  134,    0
 18247, 99411,20130916,  104,    0
 18247, 99411,20130917,   94,    0
 18247, 99411,20130918,   98,    0
 18247, 99264,20130919,   98,    0
 18247, 99264,20130920,   81,    0
