EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GJEMNES - REINSFJELLET, NORWAY (STAID: 18252)
Blended and updated with sources:99538 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18252, 99538,20150902,   61,    0
 18252, 99538,20150903,   85,    0
 18252, 99538,20150904,   53,    0
 18252, 99538,20150905,   32,    0
 18252, 99538,20150906,   24,    0
 18252, 99538,20150907,   52,    0
 18252, 99538,20150908,   64,    0
 18252, 99538,20150909,  140,    0
 18252, 99538,20150910,  155,    0
 18252, 99538,20150911,  129,    0
 18252, 99538,20150912,   97,    0
 18252, 99538,20150913,   98,    0
 18252, 99538,20150914,  101,    0
 18252, 99538,20150915,   92,    0
 18252, 99538,20150916,   72,    0
 18252, 99538,20150917,   68,    0
 18252, 99538,20150918,   60,    0
 18252, 99538,20150919,   36,    0
 18252, 99538,20150920,   30,    0
 18252, 99538,20150921,   47,    0
 18252, 99538,20150922,   63,    0
 18252, 99538,20150923,   67,    0
 18252, 99538,20150924,   84,    0
 18252, 99538,20150925,   35,    0
 18252, 99538,20150926,   23,    0
 18252, 99538,20150927,   36,    0
 18252, 99538,20150928,   68,    0
 18252, 99538,20150929,   96,    0
 18252, 99538,20150930,   63,    0
 18252, 99538,20151001,   58,    0
 18252, 99538,20151002,   36,    0
 18252, 99538,20151003,   29,    0
 18252, 99538,20151004,   32,    0
 18252, 99538,20151005,   56,    0
 18252, 99538,20151006,   60,    0
 18252, 99538,20151007,   53,    0
 18252, 99538,20151008,   51,    0
 18252, 99538,20151009,   47,    0
 18252, 99538,20151010,   53,    0
 18252, 99538,20151011,   50,    0
 18252, 99538,20151012,   40,    0
 18252, 99538,20151013,   29,    0
 18252, 99538,20151014,   36,    0
 18252, 99538,20151015,   39,    0
 18252, 99538,20151016,   35,    0
 18252, 99538,20151017,   38,    0
 18252, 99538,20151018,   27,    0
 18252, 99538,20151019,   14,    0
 18252, 99538,20151020,   17,    0
 18252, 99538,20151021,   26,    0
 18252, 99538,20151022,   48,    0
 18252, 99538,20151023,   32,    0
 18252, 99538,20151024,   49,    0
 18252, 99538,20151025,   -7,    0
 18252, 99538,20151026,   18,    0
 18252, 99538,20151027,   32,    0
 18252, 99538,20151028,   48,    0
 18252, 99538,20151029,   70,    0
 18252, 99538,20151030,   52,    0
 18252, 99538,20151031,   80,    0
 18252, 99538,20151101,   42,    0
 18252, 99538,20151102,   61,    0
 18252, 99538,20151103,   55,    0
 18252, 99538,20151104,   21,    0
 18252, 99538,20151105,   65,    0
 18252, 99538,20151106,   67,    0
 18252, 99538,20151107,   39,    0
 18252, 99538,20151108,   16,    0
 18252, 99538,20151109,   16,    0
 18252, 99538,20151110,    0,    0
 18252, 99538,20151111,   -5,    0
 18252, 99538,20151112,   -1,    0
 18252, 99538,20151113,    9,    0
 18252, 99538,20151114,  -10,    0
 18252, 99538,20151115,   -6,    0
 18252, 99538,20151116,   -6,    0
 18252, 99538,20151117,   -5,    0
 18252, 99538,20151118,  -19,    0
 18252, 99538,20151119,  -40,    0
 18252, 99538,20151120,  -58,    0
 18252, 99538,20151121,  -72,    0
 18252, 99538,20151122,  -55,    0
 18252, 99538,20151123,  -23,    0
 18252, 99538,20151124,   -1,    0
 18252, 99538,20151125,  -27,    0
 18252, 99538,20151126,  -14,    0
 18252, 99538,20151127,   16,    0
 18252, 99538,20151128,  -37,    0
 18252, 99538,20151129,  -26,    0
 18252, 99538,20151130,  -39,    0
 18252, 99538,20151201,  -36,    0
 18252, 99538,20151202,  -16,    0
 18252, 99538,20151203,  -32,    0
 18252, 99538,20151204,  -24,    0
 18252, 99538,20151205,  -13,    0
 18252, 99538,20151206,  -24,    0
 18252, 99538,20151207,  -36,    0
