EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station LANGFJORDJOEKELEN, NORWAY (STAID: 18272)
Blended and updated with sources:99581 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18272, 99581,20120101,-9999,    9
 18272, 99581,20120102,-9999,    9
 18272, 99581,20120103,-9999,    9
 18272, 99581,20120104,-9999,    9
 18272, 99581,20120105,-9999,    9
 18272, 99581,20120106,-9999,    9
 18272, 99581,20120107,-9999,    9
 18272, 99581,20120108,-9999,    9
 18272, 99581,20120109,-9999,    9
 18272, 99581,20120110,-9999,    9
 18272, 99581,20120111,-9999,    9
 18272, 99581,20120112,-9999,    9
 18272, 99581,20120113,-9999,    9
 18272, 99581,20120114,-9999,    9
 18272, 99581,20120115,-9999,    9
 18272, 99581,20120116,-9999,    9
 18272, 99581,20120117,-9999,    9
 18272, 99581,20120118,  -55,    1
 18272, 99581,20120119, -108,    1
 18272, 99581,20120120, -113,    1
 18272, 99581,20120121, -111,    1
 18272, 99581,20120122, -126,    1
 18272, 99581,20120123, -133,    1
 18272, 99581,20120124, -111,    1
 18272, 99581,20120125,  -63,    1
 18272, 99581,20120126,  -99,    1
 18272, 99581,20120127, -120,    1
 18272, 99581,20120128,  -92,    1
 18272, 99581,20120129,  -75,    1
 18272, 99581,20120130,  -70,    1
 18272, 99581,20120131,  -71,    1
 18272, 99581,20120201,  -47,    1
 18272, 99581,20120202, -125,    1
 18272, 99581,20120203,  -97,    1
 18272, 99581,20120204,  -97,    1
 18272, 99581,20120205, -217,    1
 18272, 99581,20120206, -214,    1
 18272, 99581,20120207,  -90,    1
 18272, 99581,20120208,  -22,    1
 18272, 99581,20120209,  -33,    1
 18272, 99581,20120210,  -24,    1
 18272, 99581,20120211,  -47,    1
 18272, 99581,20120212,  -80,    1
 18272, 99581,20120213, -102,    1
 18272, 99581,20120214, -101,    1
 18272, 99581,20120215, -125,    1
 18272, 99581,20120216,  -99,    1
 18272, 99581,20120217,  -74,    1
 18272, 99581,20120218,  -84,    1
 18272, 99581,20120219,  -86,    1
 18272, 99581,20120220, -106,    1
 18272, 99581,20120221,  -90,    1
 18272, 99581,20120222,  -99,    1
 18272, 99581,20120223,  -96,    1
 18272, 99581,20120224, -105,    1
 18272, 99581,20120225,  -98,    1
 18272, 99581,20120226,  -90,    1
 18272, 99581,20120227,  -99,    1
 18272, 99581,20120228,  -80,    1
 18272, 99581,20120229,  -66,    1
 18272, 99581,20120301,  -45,    1
 18272, 99581,20120302,  -65,    1
 18272, 99581,20120303,  -79,    1
 18272, 99581,20120304,  -65,    1
 18272, 99581,20120305,  -61,    1
 18272, 99581,20120306,  -60,    1
 18272, 99581,20120307,  -89,    1
 18272, 99581,20120308,  -69,    1
 18272, 99581,20120309,  -53,    1
 18272, 99581,20120310,  -57,    1
 18272, 99581,20120311,  -66,    1
 18272, 99581,20120312,  -65,    1
 18272, 99581,20120313,  -82,    1
 18272, 99581,20120314,  -74,    1
 18272, 99581,20120315,  -53,    1
 18272, 99581,20120316,  -44,    1
 18272, 99581,20120317,  -90,    1
 18272, 99581,20120318,  -54,    1
 18272, 99581,20120319,  -39,    1
 18272, 99581,20120320,  -37,    1
 18272, 99581,20120321,  -71,    1
 18272, 99581,20120322,  -51,    1
 18272, 99581,20120323,  -55,    1
 18272, 99581,20120324,  -61,    1
 18272, 99581,20120325,  -78,    1
 18272, 99581,20120326,  -67,    1
 18272, 99581,20120327,  -32,    1
 18272, 99581,20120328,  -33,    1
 18272, 99581,20120329,  -96,    1
 18272, 99581,20120330, -105,    1
 18272, 99581,20120331, -110,    1
 18272, 99581,20120401, -120,    1
 18272, 99581,20120402, -116,    1
 18272, 99581,20120403,  -99,    1
 18272, 99581,20120404, -109,    1
 18272, 99581,20120405, -115,    1
 18272, 99581,20120406, -107,    1
 18272, 99581,20120407,  -85,    1
 18272, 99581,20120408,  -86,    1
 18272, 99581,20120409,  -97,    1
 18272, 99581,20120410,  -89,    1
 18272, 99581,20120411,  -60,    1
 18272, 99581,20120412,  -51,    1
 18272, 99581,20120413,  -64,    1
 18272, 99581,20120414,  -81,    1
 18272, 99581,20120415,  -93,    1
 18272, 99581,20120416,-9999,    9
 18272, 99581,20120417,  -74,    1
 18272, 99581,20120418,  -88,    1
 18272, 99581,20120419,  -83,    1
 18272, 99581,20120420,  -60,    1
 18272, 99581,20120421,  -67,    1
 18272, 99581,20120422,  -66,    1
 18272, 99581,20120423,  -52,    1
 18272, 99581,20120424,  -33,    1
 18272, 99581,20120425,  -21,    1
 18272, 99581,20120426,  -11,    1
 18272, 99581,20120427,  -20,    1
 18272, 99581,20120428,  -32,    1
 18272, 99581,20120429,  -56,    1
 18272, 99581,20120430,  -47,    1
 18272, 99581,20120501,  -73,    1
 18272, 99581,20120502,  -40,    1
 18272, 99581,20120503,  -75,    1
 18272, 99581,20120504,  -70,    1
 18272, 99581,20120505,  -67,    1
 18272, 99581,20120506,  -75,    1
 18272, 99581,20120507,  -45,    1
 18272, 99581,20120508,  -36,    1
 18272, 99581,20120509,  -26,    1
 18272, 99581,20120510,  -21,    1
 18272, 99581,20120511,  -33,    1
 18272, 99581,20120512,  -67,    1
 18272, 99581,20120513,  -62,    1
 18272, 99581,20120514,  -29,    1
 18272, 99581,20120515,   17,    1
 18272, 99581,20120516,   26,    1
 18272, 99581,20120517,   30,    1
 18272, 99581,20120518,   14,    1
 18272, 99581,20120519,  -21,    1
 18272, 99581,20120520,  -34,    1
 18272, 99581,20120521,  -39,    1
 18272, 99581,20120522,  -34,    1
 18272, 99581,20120523,  -12,    1
 18272, 99581,20120524,   24,    1
 18272, 99581,20120525,-9999,    9
 18272, 99581,20120526,-9999,    9
 18272, 99581,20120527,-9999,    9
 18272, 99581,20120528,-9999,    9
 18272, 99581,20120529,-9999,    9
 18272, 99581,20120530,-9999,    9
 18272, 99581,20120531,-9999,    9
 18272, 99581,20120601,-9999,    9
 18272, 99581,20120602,-9999,    9
 18272, 99581,20120603,-9999,    9
 18272, 99581,20120604,-9999,    9
 18272, 99581,20120605,-9999,    9
 18272, 99581,20120606,-9999,    9
 18272, 99581,20120607,-9999,    9
 18272, 99581,20120608,-9999,    9
 18272, 99581,20120609,-9999,    9
 18272, 99581,20120610,-9999,    9
 18272, 99581,20120611,-9999,    9
 18272, 99581,20120612,-9999,    9
 18272, 99581,20120613,-9999,    9
 18272, 99581,20120614,-9999,    9
 18272, 99581,20120615,-9999,    9
 18272, 99581,20120616,-9999,    9
 18272, 99581,20120617,-9999,    9
 18272, 99581,20120618,-9999,    9
 18272, 99581,20120619,-9999,    9
 18272, 99581,20120620,   12,    1
 18272, 99581,20120621,-9999,    9
 18272, 99581,20120622,   15,    1
 18272, 99581,20120623,   43,    1
 18272, 99581,20120624,   59,    1
 18272, 99581,20120625,   58,    1
 18272, 99581,20120626,   19,    1
 18272, 99581,20120627,   11,    1
 18272, 99581,20120628,   -3,    1
 18272, 99581,20120629,   15,    1
 18272, 99581,20120630,   65,    1
 18272, 99581,20120701,   92,    1
 18272, 99581,20120702,   95,    1
 18272, 99581,20120703,   22,    1
 18272, 99581,20120704,   29,    1
 18272, 99581,20120705,  104,    1
 18272, 99581,20120706,   61,    1
 18272, 99581,20120707,   43,    1
 18272, 99581,20120708,   25,    1
 18272, 99581,20120709,   16,    1
 18272, 99581,20120710,   38,    1
 18272, 99581,20120711,   76,    1
 18272, 99581,20120712,  105,    1
 18272, 99581,20120713,  125,    1
 18272, 99581,20120714,  118,    1
 18272, 99581,20120715,   96,    1
 18272, 99581,20120716,   83,    1
 18272, 99581,20120717,   76,    1
 18272, 99581,20120718,   75,    1
 18272, 99581,20120719,   67,    1
 18272, 99581,20120720,   24,    1
 18272, 99581,20120721,   22,    1
 18272, 99581,20120722,   34,    1
 18272, 99581,20120723,   75,    1
 18272, 99581,20120724,   76,    1
 18272, 99581,20120725,   58,    1
 18272, 99581,20120726,   38,    1
 18272, 99581,20120727,   50,    1
 18272, 99581,20120728,   75,    1
 18272, 99581,20120729,   84,    1
 18272, 99581,20120730,   86,    1
 18272, 99581,20120731,   93,    1
 18272, 99581,20120801,  107,    1
 18272, 99581,20120802,   72,    1
 18272, 99581,20120803,   49,    1
 18272, 99581,20120804,   31,    1
 18272, 99581,20120805,   33,    1
 18272, 99581,20120806,   42,    1
 18272, 99581,20120807,   42,    1
 18272, 99581,20120808,   38,    1
 18272, 99581,20120809,   37,    1
 18272, 99581,20120810,   62,    1
 18272, 99581,20120811,   48,    1
 18272, 99581,20120812,   57,    1
 18272, 99581,20120813,   73,    1
 18272, 99581,20120814,   98,    1
 18272, 99581,20120815,  120,    1
 18272, 99581,20120816,   96,    1
 18272, 99581,20120817,   38,    1
 18272, 99581,20120818,    5,    1
 18272, 99581,20120819,   11,    1
 18272, 99581,20120820,   39,    1
 18272, 99581,20120821,   15,    1
 18272, 99581,20120822,  -12,    1
 18272, 99581,20120823,  -13,    1
 18272, 99581,20120824,   15,    1
 18272, 99581,20120825,   51,    1
 18272, 99581,20120826,   31,    1
 18272, 99581,20120827,   -2,    1
 18272, 99581,20120828,   46,    1
 18272, 99581,20120829,   78,    1
 18272, 99581,20120830,   79,    1
 18272, 99581,20120831,   63,    1
 18272, 99581,20120901,   62,    1
 18272, 99581,20120902,   80,    1
 18272, 99581,20120903,   53,    1
 18272, 99581,20120904,   54,    1
 18272, 99581,20120905,   49,    1
 18272, 99581,20120906,   23,    1
 18272, 99581,20120907,-9999,    9
 18272, 99581,20120908,-9999,    9
 18272, 99581,20120909,   12,    1
 18272, 99581,20120910,   24,    1
 18272, 99581,20120911,   54,    1
 18272, 99581,20120912,   53,    1
 18272, 99581,20120913,   46,    1
 18272, 99581,20120914,   26,    1
 18272, 99581,20120915,   32,    1
 18272, 99581,20120916,   16,    1
 18272, 99581,20120917,   40,    1
 18272, 99581,20120918,   36,    1
 18272, 99581,20120919,   26,    1
 18272, 99581,20120920,   21,    1
 18272, 99581,20120921,   10,    1
 18272, 99581,20120922,    8,    1
 18272, 99581,20120923,   11,    1
 18272, 99581,20120924,    2,    1
 18272, 99581,20120925,  -25,    1
 18272, 99581,20120926,  -11,    1
 18272, 99581,20120927,  -14,    1
 18272, 99581,20120928,  -17,    1
 18272, 99581,20120929,  -16,    1
 18272, 99581,20120930,   -2,    1
 18272, 99581,20121001,    2,    1
 18272, 99581,20121002,   -5,    1
 18272, 99581,20121003,   13,    1
 18272, 99581,20121004,   21,    1
 18272, 99581,20121005,   23,    1
 18272, 99581,20121006,   20,    1
 18272, 99581,20121007,   19,    1
 18272, 99581,20121008,   13,    1
 18272, 99581,20121009,    1,    1
 18272, 99581,20121010,   -6,    1
 18272, 99581,20121011,   -3,    1
 18272, 99581,20121012,  -14,    1
 18272, 99581,20121013,  -10,    1
 18272, 99581,20121014,  -30,    1
 18272, 99581,20121015,  -41,    1
 18272, 99581,20121016,  -16,    1
 18272, 99581,20121017,  -34,    1
 18272, 99581,20121018,  -47,    1
 18272, 99581,20121019,  -45,    1
 18272, 99581,20121020,  -49,    1
 18272, 99581,20121021,  -42,    1
 18272, 99581,20121022,  -28,    1
 18272, 99581,20121023,  -44,    1
 18272, 99581,20121024,  -83,    1
 18272, 99581,20121025,  -90,    1
 18272, 99581,20121026,  -49,    1
 18272, 99581,20121027,  -53,    1
 18272, 99581,20121028,  -81,    1
 18272, 99581,20121029,-9999,    9
 18272, 99581,20121030,-9999,    9
 18272, 99581,20121031,  -66,    1
 18272, 99581,20121101, -118,    1
 18272, 99581,20121102,-9999,    9
 18272, 99581,20121103,-9999,    9
 18272, 99581,20121104,-9999,    9
 18272, 99581,20121105,  -10,    1
 18272, 99581,20121106,  -51,    1
 18272, 99581,20121107,  -73,    1
 18272, 99581,20121108,  -49,    1
 18272, 99581,20121109,  -84,    1
 18272, 99581,20121110,  -79,    1
 18272, 99581,20121111,  -68,    1
 18272, 99581,20121112,  -45,    1
 18272, 99581,20121113,  -42,    1
 18272, 99581,20121114,  -25,    1
 18272, 99581,20121115,  -28,    1
 18272, 99581,20121116,  -11,    1
 18272, 99581,20121117,   -3,    1
 18272, 99581,20121118,  -12,    1
 18272, 99581,20121119,  -13,    1
 18272, 99581,20121120,  -26,    1
 18272, 99581,20121121,  -10,    1
 18272, 99581,20121122,   -6,    1
 18272, 99581,20121123,  -57,    1
 18272, 99581,20121124,  -45,    1
 18272, 99581,20121125,  -31,    1
 18272, 99581,20121126,  -49,    1
 18272, 99581,20121127,  -61,    1
 18272, 99581,20121128,  -62,    1
 18272, 99581,20121129,  -64,    1
 18272, 99581,20121130,  -98,    1
 18272, 99581,20121201, -137,    1
 18272, 99581,20121202, -118,    1
 18272, 99581,20121203,  -91,    1
 18272, 99581,20121204,  -97,    1
 18272, 99581,20121205, -105,    1
 18272, 99581,20121206, -110,    1
 18272, 99581,20121207, -115,    1
 18272, 99581,20121208, -113,    1
 18272, 99581,20121209, -122,    1
 18272, 99581,20121210, -111,    1
 18272, 99581,20121211,  -96,    1
 18272, 99581,20121212,  -98,    1
 18272, 99581,20121213, -104,    1
 18272, 99581,20121214, -119,    1
 18272, 99581,20121215, -112,    1
 18272, 99581,20121216, -124,    1
 18272, 99581,20121217,  -82,    1
 18272, 99581,20121218,  -88,    1
 18272, 99581,20121219,  -74,    1
 18272, 99581,20121220,  -65,    1
 18272, 99581,20121221,  -78,    1
 18272, 99581,20121222,  -71,    1
 18272, 99581,20121223,  -90,    1
 18272, 99581,20121224,  -93,    1
 18272, 99581,20121225, -107,    1
 18272, 99581,20121226, -108,    1
 18272, 99581,20121227, -152,    1
 18272, 99581,20121228,  -97,    1
 18272, 99581,20121229,  -95,    1
 18272, 99581,20121230,  -88,    1
 18272, 99581,20121231,  -37,    1
 18272, 99581,20130101,  -72,    0
 18272, 99581,20130102,  -75,    0
 18272, 99581,20130103,  -73,    0
 18272, 99581,20130104,  -67,    0
 18272, 99581,20130105,  -54,    0
 18272, 99581,20130106,  -33,    0
 18272, 99581,20130107,  -38,    0
 18272, 99581,20130108,  -52,    0
 18272, 99581,20130109,  -48,    0
 18272, 99581,20130110,  -59,    0
 18272, 99581,20130111,  -49,    0
 18272, 99581,20130112,  -47,    0
 18272, 99581,20130113,  -64,    0
 18272, 99581,20130114,  -83,    0
 18272, 99581,20130115, -117,    0
 18272, 99581,20130116,  -72,    0
 18272, 99581,20130117,  -72,    0
 18272, 99581,20130118,  -42,    0
 18272, 99581,20130119,  -87,    0
 18272, 99581,20130120,  -93,    0
 18272, 99581,20130121,  -61,    0
 18272, 99581,20130122, -127,    0
 18272, 99581,20130123, -112,    0
 18272, 99581,20130124, -103,    0
 18272, 99581,20130125, -119,    0
 18272, 99581,20130126, -127,    0
 18272, 99581,20130127, -134,    0
 18272, 99581,20130128, -138,    1
 18272, 99581,20130129, -146,    0
 18272, 99581,20130130, -104,    0
 18272, 99581,20130131,  -91,    0
 18272, 99581,20130201,  -83,    0
 18272, 99581,20130202,  -98,    0
 18272, 99581,20130203, -136,    0
 18272, 99581,20130204, -135,    0
 18272, 99581,20130205, -114,    0
 18272, 99581,20130206, -114,    0
 18272, 99581,20130207,  -98,    0
 18272, 99581,20130208,  -90,    0
 18272, 99581,20130209,  -76,    0
 18272, 99581,20130210,  -71,    0
 18272, 99581,20130211,  -63,    0
 18272, 99581,20130212,  -40,    0
 18272, 99581,20130213,  -82,    0
 18272, 99581,20130214,  -94,    0
 18272, 99581,20130215,  -73,    0
 18272, 99581,20130216,  -88,    0
 18272, 99581,20130217,  -93,    0
 18272, 99581,20130218,  -91,    0
 18272, 99581,20130219,  -81,    0
 18272, 99581,20130220,  -65,    0
 18272, 99581,20130221,  -97,    0
 18272, 99581,20130222,  -96,    0
 18272, 99581,20130223,  -59,    0
 18272, 99581,20130224,  -52,    0
 18272, 99581,20130225,  -34,    0
 18272, 99581,20130226,  -82,    0
 18272, 99581,20130227,  -64,    0
 18272, 99581,20130228,  -99,    0
 18272, 99581,20130301, -145,    0
 18272, 99581,20130302, -139,    0
 18272, 99581,20130303, -150,    0
 18272, 99581,20130304, -131,    0
 18272, 99581,20130305, -148,    0
 18272, 99581,20130306, -136,    0
 18272, 99581,20130307, -134,    0
 18272, 99581,20130308, -150,    0
 18272, 99581,20130309, -130,    0
 18272, 99581,20130310, -131,    0
 18272, 99581,20130311, -151,    0
 18272, 99581,20130312, -152,    0
 18272, 99581,20130313, -144,    0
 18272, 99581,20130314, -157,    0
 18272, 99581,20130315, -147,    0
 18272, 99581,20130316, -123,    0
 18272, 99581,20130317, -107,    0
 18272, 99581,20130318,  -81,    0
 18272, 99581,20130319, -113,    0
 18272, 99581,20130320, -100,    0
 18272, 99581,20130321, -113,    0
 18272, 99581,20130322,  -93,    0
 18272, 99581,20130323,  -82,    0
 18272, 99581,20130324,  -81,    0
 18272, 99581,20130325,  -99,    0
 18272, 99581,20130326, -102,    0
 18272, 99581,20130327, -102,    0
 18272, 99581,20130328, -113,    0
 18272, 99581,20130329, -112,    0
 18272, 99581,20130330, -100,    0
