EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FINSEVATN, NORWAY (STAID: 18281)
Blended and updated with sources:99606 100824 901350 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18281,100824,19691101,  -37,    0
 18281,100824,19691102,  -66,    0
 18281,100824,19691103,  -60,    0
 18281,100824,19691104,  -68,    0
 18281,100824,19691105, -171,    0
 18281,100824,19691106,  -58,    0
 18281,100824,19691107,  -58,    0
 18281,100824,19691108,  -46,    0
 18281,100824,19691109,  -52,    0
 18281,100824,19691110,  -91,    0
 18281,100824,19691111,  -49,    0
 18281,100824,19691112,  -41,    0
 18281,100824,19691113,  -42,    0
 18281,100824,19691114,  -62,    0
 18281,100824,19691115,  -51,    0
 18281,100824,19691116,  -36,    0
 18281,100824,19691117, -110,    0
 18281,100824,19691118,  -72,    0
 18281,100824,19691119,  -49,    0
 18281,100824,19691120,  -53,    0
 18281,100824,19691121,  -66,    0
 18281,100824,19691122, -129,    0
 18281,100824,19691123, -144,    0
 18281,100824,19691124, -115,    0
 18281,100824,19691125, -216,    0
 18281,100824,19691126, -208,    0
 18281,100824,19691127,  -72,    0
 18281,100824,19691128, -118,    0
 18281,100824,19691129, -119,    0
 18281,100824,19691130, -132,    0
 18281,100824,19691201,  -33,    0
 18281,100824,19691202,  -96,    0
 18281,100824,19691203, -127,    0
 18281,100824,19691204, -116,    0
 18281,100824,19691205, -214,    0
 18281,100824,19691206, -228,    0
 18281,100824,19691207, -103,    0
 18281,100824,19691208,  -92,    0
 18281,100824,19691209,  -20,    0
 18281,100824,19691210,    1,    0
 18281,100824,19691211,  -31,    0
 18281,100824,19691212,  -52,    0
 18281,100824,19691213,  -75,    0
 18281,100824,19691214,  -94,    0
