EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SKJEGGEDAL, NORWAY (STAID: 18286)
Blended and updated with sources:99617 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18286, 99617,20170201,-9999,    9
 18286, 99617,20170202,-9999,    9
 18286, 99617,20170203,-9999,    9
 18286, 99617,20170204,-9999,    9
 18286, 99617,20170205,-9999,    9
 18286, 99617,20170206,-9999,    9
 18286, 99617,20170207,-9999,    9
 18286, 99617,20170208,-9999,    9
 18286, 99617,20170209,-9999,    9
 18286, 99617,20170210,-9999,    9
 18286, 99617,20170211,-9999,    9
 18286, 99617,20170212,-9999,    9
 18286, 99617,20170213,-9999,    9
 18286, 99617,20170214,-9999,    9
 18286, 99617,20170215,-9999,    9
 18286, 99617,20170216,   22,    0
 18286, 99617,20170217,    4,    0
 18286, 99617,20170218,    2,    0
 18286, 99617,20170219,   33,    0
 18286, 99617,20170220,   29,    0
 18286, 99617,20170221,   13,    0
 18286, 99617,20170222,    4,    0
 18286, 99617,20170223,  -42,    0
 18286, 99617,20170224,  -68,    0
 18286, 99617,20170225,  -31,    0
 18286, 99617,20170226,   11,    0
 18286, 99617,20170227,   34,    0
 18286, 99617,20170228,   24,    0
 18286, 99617,20170301,   -3,    0
 18286, 99617,20170302,   -7,    0
 18286, 99617,20170303,   -3,    0
 18286, 99617,20170304,   -2,    0
 18286, 99617,20170305,   -8,    0
 18286, 99617,20170306,  -42,    0
 18286, 99617,20170307,  -71,    0
 18286, 99617,20170308,  -67,    0
 18286, 99617,20170309,    6,    0
 18286, 99617,20170310,   10,    0
 18286, 99617,20170311,    5,    0
 18286, 99617,20170312,   30,    0
 18286, 99617,20170313,   34,    0
 18286, 99617,20170314,   37,    0
 18286, 99617,20170315,   21,    0
 18286, 99617,20170316,   26,    0
 18286, 99617,20170317,   -2,    0
 18286, 99617,20170318,  -21,    0
 18286, 99617,20170319,  -19,    0
 18286, 99617,20170320,   21,    0
 18286, 99617,20170321,   16,    0
 18286, 99617,20170322,   -4,    0
 18286, 99617,20170323,  -17,    0
 18286, 99617,20170324,   13,    0
 18286, 99617,20170325,   33,    0
 18286, 99617,20170326,   58,    0
 18286, 99617,20170327,   45,    0
 18286, 99617,20170328,   35,    0
 18286, 99617,20170329,   26,    0
 18286, 99617,20170330,   13,    0
 18286, 99617,20170331,   36,    0
 18286, 99617,20170401,   75,    0
 18286, 99617,20170402,   42,    0
 18286, 99617,20170403,   49,    0
 18286, 99617,20170404,   55,    0
 18286, 99617,20170405,   26,    0
 18286, 99617,20170406,   28,    0
 18286, 99617,20170407,   67,    0
 18286, 99617,20170408,   52,    0
 18286, 99617,20170409,   67,    0
 18286, 99617,20170410,   19,    0
 18286, 99617,20170411,    9,    0
 18286, 99617,20170412,   23,    0
 18286, 99617,20170413,   18,    0
 18286, 99617,20170414,    7,    0
 18286, 99617,20170415,   19,    0
 18286, 99617,20170416,   16,    0
 18286, 99617,20170417,    4,    0
 18286, 99617,20170418,    3,    0
 18286, 99617,20170419,   24,    0
 18286, 99617,20170420,   49,    0
 18286, 99617,20170421,   14,    0
 18286, 99617,20170422,   17,    0
 18286, 99617,20170423,    7,    0
 18286, 99617,20170424,   -3,    0
 18286, 99617,20170425,    9,    0
 18286, 99617,20170426,    8,    0
 18286, 99617,20170427,   16,    0
 18286, 99617,20170428,   26,    0
 18286, 99617,20170429,   33,    0
 18286, 99617,20170430,   27,    0
 18286, 99617,20170501,   52,    0
 18286, 99617,20170502,   62,    0
 18286, 99617,20170503,   78,    0
 18286, 99617,20170504,   77,    0
 18286, 99617,20170505,   95,    0
 18286, 99617,20170506,  107,    0
 18286, 99617,20170507,   90,    0
 18286, 99617,20170508,   54,    0
 18286, 99617,20170509,   34,    0
 18286, 99617,20170510,   41,    0
 18286, 99617,20170511,   48,    0
 18286, 99617,20170512,   68,    0
 18286, 99617,20170513,   76,    0
 18286, 99617,20170514,   78,    0
 18286, 99617,20170515,   94,    0
 18286, 99617,20170516,   87,    0
 18286, 99617,20170517,   94,    0
 18286, 99617,20170518,   79,    0
 18286, 99617,20170519,  106,    0
 18286, 99617,20170520,  124,    0
 18286, 99617,20170521,   84,    0
 18286, 99617,20170522,   85,    0
