EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GLOMFJORD - SKIHYTTA, NORWAY (STAID: 18296)
Blended and updated with sources:99654 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18296, 99654,20141127,   41,    0
 18296, 99654,20141128,   41,    0
 18296, 99654,20141129,   30,    0
 18296, 99654,20141130,  -16,    0
 18296, 99654,20141201,   -8,    0
 18296, 99654,20141202,    5,    0
 18296, 99654,20141203,   11,    0
 18296, 99654,20141204,   34,    0
 18296, 99654,20141205,   30,    0
 18296, 99654,20141206,  -14,    0
 18296, 99654,20141207,   -3,    0
 18296, 99654,20141208,  -12,    0
 18296, 99654,20141209,  -27,    0
 18296, 99654,20141210,   -6,    0
 18296, 99654,20141211,   -6,    0
 18296, 99654,20141212,  -20,    0
 18296, 99654,20141213,  -29,    0
 18296, 99654,20141214,  -21,    0
 18296, 99654,20141215,    4,    0
 18296, 99654,20141216,  -19,    0
 18296, 99654,20141217,  -16,    0
 18296, 99654,20141218,  -32,    0
 18296, 99654,20141219,  -25,    0
 18296, 99654,20141220,  -33,    0
 18296, 99654,20141221,  -42,    0
 18296, 99654,20141222,  -63,    0
 18296, 99654,20141223,  -72,    0
 18296, 99654,20141224,  -59,    0
 18296, 99654,20141225,  -53,    0
 18296, 99654,20141226,  -52,    0
 18296, 99654,20141227,  -62,    0
 18296, 99654,20141228,  -63,    0
 18296, 99654,20141229,  -10,    0
 18296, 99654,20141230,   31,    0
 18296, 99654,20141231,   32,    0
 18296, 99654,20150101,   30,    0
 18296, 99654,20150102,    0,    0
 18296, 99654,20150103,  -24,    0
 18296, 99654,20150104,  -30,    0
 18296, 99654,20150105,   -3,    0
 18296, 99654,20150106,   10,    0
 18296, 99654,20150107,    5,    0
 18296, 99654,20150108,    9,    0
 18296, 99654,20150109,   -9,    1
 18296, 99654,20150110,  -63,    0
 18296, 99654,20150111,  -88,    0
 18296, 99654,20150112, -108,    0
 18296, 99654,20150113,  -44,    0
 18296, 99654,20150114,  -17,    0
 18296, 99654,20150115,  -11,    0
 18296, 99654,20150116,  -15,    0
 18296, 99654,20150117,   -5,    0
 18296, 99654,20150118,  -28,    0
 18296, 99654,20150119,  -66,    0
 18296, 99654,20150120,  -42,    0
 18296, 99654,20150121,  -37,    0
 18296, 99654,20150122,  -47,    0
 18296, 99654,20150123,  -39,    0
 18296, 99654,20150124,  -19,    0
 18296, 99654,20150125,   -4,    0
 18296, 99654,20150126,    4,    0
 18296, 99654,20150127,  -19,    0
 18296, 99654,20150128,    9,    0
 18296, 99654,20150129,  -48,    0
 18296, 99654,20150130,  -44,    0
 18296, 99654,20150131,  -43,    0
 18296, 99654,20150201,  -51,    0
 18296, 99654,20150202, -104,    0
 18296, 99654,20150203,  -82,    0
 18296, 99654,20150204,  -48,    0
 18296, 99654,20150205,   -2,    0
 18296, 99654,20150206,    8,    0
 18296, 99654,20150207,  -40,    0
 18296, 99654,20150208,  -35,    0
 18296, 99654,20150209,   20,    0
 18296, 99654,20150210,   14,    0
 18296, 99654,20150211,  -11,    0
 18296, 99654,20150212,  -45,    0
 18296, 99654,20150213,  -57,    0
 18296, 99654,20150214,  -61,    0
 18296, 99654,20150215,   -1,    0
 18296, 99654,20150216,    9,    0
 18296, 99654,20150217,  -13,    0
 18296, 99654,20150218,  -18,    0
 18296, 99654,20150219,   13,    0
 18296, 99654,20150220,   -5,    0
 18296, 99654,20150221,   -5,    0
 18296, 99654,20150222,  -33,    0
 18296, 99654,20150223,  -32,    0
 18296, 99654,20150224,   -4,    0
 18296, 99654,20150225,   -5,    0
 18296, 99654,20150226,    7,    0
 18296, 99654,20150227,   16,    0
 18296, 99654,20150228,   16,    0
 18296, 99654,20150301,   14,    0
 18296, 99654,20150302,   10,    0
 18296, 99654,20150303,   -9,    0
 18296, 99654,20150304,  -12,    0
 18296, 99654,20150305,   -8,    0
 18296, 99654,20150306,    7,    0
 18296, 99654,20150307,   11,    0
 18296, 99654,20150308,    1,    0
 18296, 99654,20150309,  -12,    0
 18296, 99654,20150310,  -11,    0
 18296, 99654,20150311,    0,    0
 18296, 99654,20150312,   16,    0
 18296, 99654,20150313,   39,    0
 18296, 99654,20150314,   21,    0
 18296, 99654,20150315,   53,    0
 18296, 99654,20150316,   50,    0
 18296, 99654,20150317,   30,    0
 18296, 99654,20150318,   26,    0
 18296, 99654,20150319,  -20,    0
 18296, 99654,20150320,  -58,    0
 18296, 99654,20150321,  -52,    0
 18296, 99654,20150322,  -10,    0
 18296, 99654,20150323,   -8,    0
 18296, 99654,20150324,  -46,    0
 18296, 99654,20150325,  -31,    0
 18296, 99654,20150326,  -34,    0
 18296, 99654,20150327,  -19,    0
 18296, 99654,20150328,   11,    0
 18296, 99654,20150329,   13,    0
 18296, 99654,20150330,   -4,    0
 18296, 99654,20150331,  -16,    0
 18296, 99654,20150401,  -10,    0
 18296, 99654,20150402,  -12,    0
 18296, 99654,20150403,  -22,    0
 18296, 99654,20150404,  -25,    0
 18296, 99654,20150405,   -8,    0
 18296, 99654,20150406,   25,    0
 18296, 99654,20150407,   10,    0
 18296, 99654,20150408,    0,    0
 18296, 99654,20150409,    0,    0
 18296, 99654,20150410,   -3,    0
 18296, 99654,20150411,   23,    0
 18296, 99654,20150412,   19,    0
 18296, 99654,20150413,  -10,    0
 18296, 99654,20150414,   -5,    0
 18296, 99654,20150415,   12,    0
 18296, 99654,20150416,   13,    0
 18296, 99654,20150417,   11,    0
 18296, 99654,20150418,   15,    0
 18296, 99654,20150419,   18,    0
 18296, 99654,20150420,   16,    0
 18296, 99654,20150421,   19,    0
 18296, 99654,20150422,  -11,    0
 18296, 99654,20150423,  -16,    0
 18296, 99654,20150424,   -8,    0
 18296, 99654,20150425,    0,    0
 18296, 99654,20150426,   -1,    0
 18296, 99654,20150427,    5,    0
 18296, 99654,20150428,   -8,    0
 18296, 99654,20150429,    1,    0
 18296, 99654,20150430,   20,    0
 18296, 99654,20150501,   15,    0
 18296, 99654,20150502,   11,    0
 18296, 99654,20150503,    9,    0
 18296, 99654,20150504,   16,    0
 18296, 99654,20150505,   42,    0
 18296, 99654,20150506,   62,    0
 18296, 99654,20150507,   60,    0
 18296, 99654,20150508,   50,    0
 18296, 99654,20150509,   22,    0
 18296, 99654,20150510,   30,    0
 18296, 99654,20150511,   37,    0
 18296, 99654,20150512,   54,    0
 18296, 99654,20150513,   27,    0
 18296, 99654,20150514,    2,    0
 18296, 99654,20150515,    6,    0
 18296, 99654,20150516,   28,    0
 18296, 99654,20150517,   35,    0
 18296, 99654,20150518,   35,    0
 18296, 99654,20150519,   48,    0
 18296, 99654,20150520,   45,    0
 18296, 99654,20150521,   26,    0
 18296, 99654,20150522,   41,    0
 18296, 99654,20150523,   12,    0
 18296, 99654,20150524,   26,    0
 18296, 99654,20150525,   53,    0
 18296, 99654,20150526,   56,    0
 18296, 99654,20150527,   34,    0
 18296, 99654,20150528,   31,    0
 18296, 99654,20150529,   72,    0
 18296, 99654,20150530,   71,    0
 18296, 99654,20150531,   73,    0
 18296, 99654,20150601,   59,    0
 18296, 99654,20150602,   51,    0
 18296, 99654,20150603,   61,    0
 18296, 99654,20150604,   17,    0
 18296, 99654,20150605,   17,    0
 18296, 99654,20150606,   39,    0
 18296, 99654,20150607,   28,    0
 18296, 99654,20150608,   22,    0
 18296, 99654,20150609,   39,    0
 18296, 99654,20150610,   31,    0
 18296, 99654,20150611,   16,    0
 18296, 99654,20150612,   22,    0
 18296, 99654,20150613,   14,    0
 18296, 99654,20150614,   22,    0
 18296, 99654,20150615,   14,    0
 18296, 99654,20150616,   22,    0
 18296, 99654,20150617,   44,    0
 18296, 99654,20150618,   88,    0
 18296, 99654,20150619,   50,    0
 18296, 99654,20150620,   53,    0
 18296, 99654,20150621,   71,    0
 18296, 99654,20150622,   89,    0
 18296, 99654,20150623,   85,    0
 18296, 99654,20150624,   63,    0
 18296, 99654,20150625,   60,    0
 18296, 99654,20150626,   51,    0
 18296, 99654,20150627,   44,    0
 18296, 99654,20150628,   46,    0
 18296, 99654,20150629,   49,    0
 18296, 99654,20150630,   67,    0
 18296, 99654,20150701,   84,    0
 18296, 99654,20150702,  123,    0
 18296, 99654,20150703,  115,    0
 18296, 99654,20150704,   71,    0
 18296, 99654,20150705,   93,    0
 18296, 99654,20150706,  124,    0
 18296, 99654,20150707,   77,    0
 18296, 99654,20150708,   59,    0
 18296, 99654,20150709,   66,    0
 18296, 99654,20150710,   87,    0
 18296, 99654,20150711,   79,    0
 18296, 99654,20150712,  138,    0
 18296, 99654,20150713,  154,    0
 18296, 99654,20150714,   94,    0
 18296, 99654,20150715,   72,    0
 18296, 99654,20150716,   61,    0
