EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station BJOERNFJELL, NORWAY (STAID: 18317)
Blended and updated with sources:37463 37466 99231 99732 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18317, 37466,19040801,  109,    0
 18317, 37466,19040802,   75,    0
 18317, 37466,19040803,   74,    0
 18317, 37466,19040804,   70,    0
 18317, 37466,19040805,   59,    0
 18317, 37466,19040806,   71,    0
 18317, 37466,19040807,   85,    0
 18317, 37466,19040808,   40,    0
 18317, 37466,19040809,   27,    0
 18317, 37466,19040810,   26,    0
 18317, 37466,19040811,   66,    0
 18317, 37466,19040812,   68,    0
 18317, 37466,19040813,   74,    0
 18317, 37466,19040814,   47,    0
 18317, 37466,19040815,   75,    0
 18317, 37466,19040816,   98,    0
 18317, 37466,19040817,  112,    0
 18317, 37466,19040818,  112,    0
 18317, 37466,19040819,  111,    0
 18317, 37466,19040820,  112,    0
 18317, 37466,19040821,  109,    0
 18317, 37466,19040822,   83,    0
 18317, 37466,19040823,   70,    0
 18317, 37466,19040824,   63,    0
 18317, 37466,19040825,   69,    0
 18317, 37466,19040826,   59,    0
 18317, 37466,19040827,   55,    0
 18317, 37466,19040828,   74,    0
 18317, 37466,19040829,   87,    0
 18317, 37466,19040830,   82,    0
 18317, 37466,19040831,   87,    0
 18317, 37466,19040901,   84,    0
 18317, 37466,19040902,   98,    0
 18317, 37466,19040903,   81,    0
 18317, 37466,19040904,   72,    0
 18317, 37466,19040905,   54,    0
 18317, 37466,19040906,   51,    0
 18317, 37466,19040907,   69,    0
 18317, 37466,19040908,   80,    0
 18317, 37466,19040909,   59,    0
 18317, 37466,19040910,   61,    0
 18317, 37466,19040911,   40,    0
 18317, 37466,19040912,   12,    0
 18317, 37466,19040913,   14,    0
 18317, 37466,19040914,   11,    0
 18317, 37466,19040915,    9,    0
 18317, 37466,19040916,   -6,    0
 18317, 37466,19040917,    2,    0
 18317, 37466,19040918,   57,    0
 18317, 37466,19040919,   67,    0
 18317, 37466,19040920,   57,    0
 18317, 37466,19040921,   54,    0
 18317, 37466,19040922,   41,    0
 18317, 37466,19040923,   22,    0
 18317, 37466,19040924,   33,    0
 18317, 37466,19040925,   36,    0
 18317, 37466,19040926,   33,    0
 18317, 37466,19040927,   28,    0
 18317, 37466,19040928,   35,    0
 18317, 37466,19040929,   34,    0
 18317, 37466,19040930,   39,    0
 18317, 37466,19041001,   67,    0
 18317, 37466,19041002,   37,    0
 18317, 37466,19041003,   14,    0
 18317, 37466,19041004,   15,    0
 18317, 37466,19041005,    3,    0
 18317, 37466,19041006,  -28,    0
 18317, 37466,19041007,  -21,    0
 18317, 37466,19041008,  -19,    0
 18317, 37466,19041009,  -16,    0
 18317, 37466,19041010,   14,    0
 18317, 37466,19041011,   44,    0
 18317, 37466,19041012,    7,    0
 18317, 37466,19041013,  -24,    0
 18317, 37466,19041014,   23,    0
 18317, 37466,19041015,   13,    0
 18317, 37466,19041016,  -35,    0
 18317, 37466,19041017,    0,    0
 18317, 37466,19041018,   -1,    0
 18317, 37466,19041019,    1,    0
 18317, 37466,19041020,    1,    0
 18317, 37466,19041021,  -32,    0
 18317, 37466,19041022,  -33,    0
 18317, 37466,19041023,  -35,    0
 18317, 37466,19041024,  -19,    0
 18317, 37466,19041025,  -12,    0
 18317, 37466,19041026,  -30,    0
 18317, 37466,19041027,    7,    0
 18317, 37466,19041028,   -4,    0
 18317, 37466,19041029,  -39,    0
 18317, 37466,19041030,   14,    0
 18317, 37466,19041031,  -16,    0
 18317, 37466,19041101,  -66,    0
 18317, 37466,19041102,  -95,    0
 18317, 37466,19041103,  -90,    0
 18317, 37466,19041104, -102,    0
 18317, 37466,19041105, -107,    0
 18317, 37466,19041106, -110,    0
 18317, 37466,19041107,  -68,    0
 18317, 37466,19041108,  -53,    1
 18317, 37466,19041109,  -70,    0
 18317, 37466,19041110, -135,    0
 18317, 37466,19041111, -141,    0
 18317, 37466,19041112, -162,    0
 18317, 37466,19041113, -159,    0
 18317, 37466,19041114,  -11,    0
 18317, 37466,19041115,   21,    0
 18317, 37466,19041116,    5,    0
 18317, 37466,19041117,    4,    0
 18317, 37466,19041118,  -17,    0
 18317, 37466,19041119,  -53,    0
 18317, 37466,19041120,  -85,    0
 18317, 37466,19041121,  -91,    0
 18317, 37466,19041122, -152,    0
 18317, 37466,19041123, -104,    0
 18317, 37466,19041124,  -99,    0
 18317, 37466,19041125,  -51,    0
 18317, 37466,19041126,  -90,    0
 18317, 37466,19041127, -157,    0
 18317, 37466,19041128, -195,    0
 18317, 37466,19041129, -175,    0
 18317, 37466,19041130, -182,    0
 18317, 37466,19041201, -142,    0
 18317, 37466,19041202, -173,    0
 18317, 37466,19041203, -154,    0
 18317, 37466,19041204, -129,    0
 18317, 37466,19041205, -116,    0
 18317, 37466,19041206,  -91,    0
 18317, 37466,19041207, -109,    0
 18317, 37466,19041208, -171,    0
 18317, 37466,19041209, -153,    0
 18317, 37466,19041210, -195,    0
 18317, 37466,19041211, -246,    0
 18317, 37466,19041212, -204,    0
 18317, 37466,19041213, -141,    0
 18317, 37466,19041214,  -92,    0
 18317, 37466,19041215, -160,    0
 18317, 37466,19041216, -166,    0
 18317, 37466,19041217,  -78,    0
 18317, 37466,19041218, -101,    0
 18317, 37466,19041219, -121,    0
 18317, 37466,19041220,  -76,    0
 18317, 37466,19041221,  -74,    0
 18317, 37466,19041222, -101,    0
 18317, 37466,19041223, -118,    0
 18317, 37466,19041224, -106,    0
 18317, 37466,19041225, -123,    0
 18317, 37466,19041226, -128,    0
 18317, 37466,19041227,  -70,    0
 18317, 37466,19041228, -160,    0
 18317, 37466,19041229, -218,    0
 18317, 37466,19041230, -208,    0
 18317, 37466,19041231, -178,    0
 18317, 37466,19050101,  -72,    0
 18317, 37466,19050102,  -27,    0
 18317, 37466,19050103,  -71,    0
 18317, 37466,19050104, -121,    0
 18317, 37466,19050105, -195,    0
 18317, 37466,19050106, -234,    0
 18317, 37466,19050107, -192,    0
 18317, 37466,19050108, -195,    0
 18317, 37466,19050109, -203,    0
 18317, 37466,19050110, -154,    0
 18317, 37466,19050111, -227,    0
 18317, 37466,19050112, -249,    0
 18317, 37466,19050113, -241,    0
 18317, 37466,19050114,  -23,    0
 18317, 37466,19050115,   -6,    0
 18317, 37466,19050116,  -30,    0
 18317, 37466,19050117, -159,    0
 18317, 37466,19050118, -182,    0
 18317, 37466,19050119, -126,    0
 18317, 37466,19050120,    0,    0
 18317, 37466,19050121,  -24,    0
 18317, 37466,19050122,  -15,    0
 18317, 37466,19050123,   11,    0
 18317, 37466,19050124,  -57,    0
 18317, 37466,19050125,  -71,    0
 18317, 37466,19050126, -122,    0
 18317, 37466,19050127,  -88,    0
 18317, 37466,19050128,  -49,    0
 18317, 37466,19050129,  -95,    0
 18317, 37466,19050130, -138,    0
 18317, 37466,19050131, -190,    0
 18317, 37466,19050201, -107,    0
 18317, 37466,19050202, -177,    0
 18317, 37466,19050203, -134,    0
 18317, 37466,19050204, -132,    0
 18317, 37466,19050205, -187,    0
 18317, 37466,19050206, -102,    0
 18317, 37466,19050207, -108,    0
 18317, 37466,19050208, -116,    0
 18317, 37466,19050209, -142,    0
 18317, 37466,19050210, -185,    0
 18317, 37466,19050211, -112,    0
 18317, 37466,19050212, -150,    0
 18317, 37466,19050213, -175,    0
 18317, 37466,19050214, -126,    0
 18317, 37466,19050215,  -95,    0
 18317, 37466,19050216,  -39,    0
 18317, 37466,19050217,  -30,    0
 18317, 37466,19050218,  -63,    0
 18317, 37466,19050219,  -76,    0
 18317, 37466,19050220,  -56,    0
 18317, 37466,19050221,  -51,    0
 18317, 37466,19050222,    3,    0
 18317, 37466,19050223,  -33,    0
 18317, 37466,19050224,  -77,    0
 18317, 37466,19050225,  -99,    0
 18317, 37466,19050226,  -99,    0
 18317, 37466,19050227, -119,    0
 18317, 37466,19050228,  -98,    0
 18317, 37466,19050301,  -82,    0
 18317, 37466,19050302,  -89,    0
 18317, 37466,19050303,  -63,    0
 18317, 37466,19050304, -101,    0
 18317, 37466,19050305, -134,    0
 18317, 37466,19050306, -116,    0
 18317, 37466,19050307, -134,    0
 18317, 37466,19050308, -122,    0
 18317, 37466,19050309, -129,    0
 18317, 37466,19050310, -170,    0
 18317, 37466,19050311, -168,    0
 18317, 37466,19050312, -152,    0
 18317, 37466,19050313, -125,    0
 18317, 37466,19050314, -150,    0
 18317, 37466,19050315, -105,    0
 18317, 37466,19050316,  -40,    0
 18317, 37466,19050317,  -41,    0
 18317, 37466,19050318,  -64,    0
 18317, 37466,19050319,  -79,    0
 18317, 37466,19050320,  -81,    0
 18317, 37466,19050321,  -89,    0
 18317, 37466,19050322, -118,    0
 18317, 37466,19050323, -107,    0
 18317, 37466,19050324, -106,    0
 18317, 37466,19050325, -100,    0
 18317, 37466,19050326, -119,    0
 18317, 37466,19050327, -103,    0
 18317, 37466,19050328, -134,    0
 18317, 37466,19050329, -130,    0
 18317, 37466,19050330,  -60,    0
 18317, 37466,19050331,  -48,    0
 18317, 37466,19050401,  -97,    0
 18317, 37466,19050402,  -83,    0
 18317, 37466,19050403,  -67,    0
 18317, 37466,19050404,  -99,    0
 18317, 37466,19050405, -147,    0
 18317, 37466,19050406, -141,    0
 18317, 37466,19050407, -162,    0
 18317, 37466,19050408, -129,    0
 18317, 37466,19050409,  -70,    0
 18317, 37466,19050410,  -77,    0
 18317, 37466,19050411,  -75,    0
 18317, 37466,19050412,  -63,    0
 18317, 37466,19050413,  -99,    0
 18317, 37466,19050414,  -98,    0
 18317, 37466,19050415,  -60,    0
 18317, 37466,19050416,  -41,    0
 18317, 37466,19050417,  -47,    0
 18317, 37466,19050418,  -26,    0
 18317, 37466,19050419,  -16,    0
 18317, 37466,19050420,  -23,    0
 18317, 37466,19050421,  -44,    0
 18317, 37466,19050422,  -27,    0
 18317, 37466,19050423,  -22,    0
 18317, 37466,19050424,  -25,    0
 18317, 37466,19050425,  -28,    0
 18317, 37466,19050426,  -35,    0
 18317, 37466,19050427,  -35,    0
 18317, 37466,19050428,  -24,    0
 18317, 37466,19050429,    2,    0
 18317, 37466,19050430,   10,    0
 18317, 37466,19050501,    2,    0
 18317, 37466,19050502,   12,    0
 18317, 37466,19050503,    5,    0
 18317, 37466,19050504,  -17,    0
 18317, 37466,19050505,  -23,    0
 18317, 37466,19050506,   15,    0
 18317, 37466,19050507,   34,    0
 18317, 37466,19050508,    3,    0
 18317, 37466,19050509,  -23,    0
 18317, 37466,19050510,   -7,    0
 18317, 37466,19050511,   19,    0
 18317, 37466,19050512,   19,    0
 18317, 37466,19050513,   16,    0
 18317, 37466,19050514,    7,    0
 18317, 37466,19050515,   14,    0
 18317, 37466,19050516,   -1,    0
 18317, 37466,19050517,   16,    0
 18317, 37466,19050518,   12,    0
 18317, 37466,19050519,  -41,    0
 18317, 37466,19050520,  -55,    0
 18317, 37466,19050521,  -35,    0
 18317, 37466,19050522,  -16,    0
 18317, 37466,19050523,    0,    0
 18317, 37466,19050524,   29,    0
 18317, 37466,19050525,   18,    0
 18317, 37466,19050526,   15,    0
 18317, 37466,19050527,    0,    0
