EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station RV15 STRYNEFJELL-KVITENOVA, NORWAY (STAID: 18354)
Blended and updated with sources:99081 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18354, 99081,20140101,-9999,    9
 18354, 99081,20140102,-9999,    9
 18354, 99081,20140103,-9999,    9
 18354, 99081,20140104,-9999,    9
 18354, 99081,20140105,-9999,    9
 18354, 99081,20140106,-9999,    9
 18354, 99081,20140107,-9999,    9
 18354, 99081,20140108,-9999,    9
 18354, 99081,20140109,-9999,    9
 18354, 99081,20140110,-9999,    9
 18354, 99081,20140111,-9999,    9
 18354, 99081,20140112,-9999,    9
 18354, 99081,20140113,-9999,    9
 18354, 99081,20140114,-9999,    9
 18354, 99081,20140115, -139,    0
 18354, 99081,20140116,-9999,    9
 18354, 99081,20140117,-9999,    9
 18354, 99081,20140118, -136,    0
 18354, 99081,20140119, -134,    0
 18354, 99081,20140120, -111,    0
 18354, 99081,20140121,  -93,    0
 18354, 99081,20140122,-9999,    9
 18354, 99081,20140123,  -98,    0
 18354, 99081,20140124, -105,    0
 18354, 99081,20140125, -112,    0
 18354, 99081,20140126, -122,    0
 18354, 99081,20140127, -139,    0
 18354, 99081,20140128, -105,    0
 18354, 99081,20140129, -117,    0
 18354, 99081,20140130, -155,    0
 18354, 99081,20140131,-9999,    9
 18354, 99081,20140201,-9999,    9
 18354, 99081,20140202,-9999,    9
 18354, 99081,20140203,-9999,    9
 18354, 99081,20140204,-9999,    9
 18354, 99081,20140205,  -70,    0
 18354, 99081,20140206,  -61,    0
 18354, 99081,20140207,-9999,    9
 18354, 99081,20140208,  -66,    0
 18354, 99081,20140209,  -51,    0
 18354, 99081,20140210,-9999,    9
 18354, 99081,20140211,  -58,    0
 18354, 99081,20140212,-9999,    9
 18354, 99081,20140213,-9999,    9
 18354, 99081,20140214,-9999,    9
 18354, 99081,20140215,  -62,    0
 18354, 99081,20140216,  -61,    0
 18354, 99081,20140217,-9999,    9
 18354, 99081,20140218,  -96,    0
 18354, 99081,20140219, -106,    0
 18354, 99081,20140220, -106,    0
 18354, 99081,20140221,  -66,    0
 18354, 99081,20140222,  -52,    0
 18354, 99081,20140223,  -16,    0
