EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station E6 GANDVIKBAKKEN, NORWAY (STAID: 18359)
Blended and updated with sources:99094 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18359, 99094,20180601,-9999,    9
 18359, 99094,20180602,-9999,    9
 18359, 99094,20180603,-9999,    9
 18359, 99094,20180604,-9999,    9
 18359, 99094,20180605,   38,    0
 18359, 99094,20180606,-9999,    9
 18359, 99094,20180607,   41,    0
 18359, 99094,20180608,   55,    0
 18359, 99094,20180609,   67,    0
 18359, 99094,20180610,   53,    0
 18359, 99094,20180611,   34,    0
 18359, 99094,20180612,   42,    0
 18359, 99094,20180613,   53,    0
 18359, 99094,20180614,  122,    0
 18359, 99094,20180615,  144,    0
 18359, 99094,20180616,  177,    0
 18359, 99094,20180617,  114,    0
 18359, 99094,20180618,  108,    0
 18359, 99094,20180619,  142,    0
 18359, 99094,20180620,   99,    0
 18359, 99094,20180621,   65,    0
 18359, 99094,20180622,   76,    0
 18359, 99094,20180623,-9999,    9
 18359, 99094,20180624,-9999,    9
 18359, 99094,20180625,-9999,    9
 18359, 99094,20180626,-9999,    9
 18359, 99094,20180627,-9999,    9
 18359, 99094,20180628,-9999,    9
 18359, 99094,20180629,-9999,    9
 18359, 99094,20180630,-9999,    9
 18359, 99094,20180701,-9999,    9
 18359, 99094,20180702,-9999,    9
 18359, 99094,20180703,-9999,    9
 18359, 99094,20180704,-9999,    9
 18359, 99094,20180705,   96,    0
 18359, 99094,20180706,   92,    0
 18359, 99094,20180707,   90,    0
 18359, 99094,20180708,-9999,    9
 18359, 99094,20180709,  132,    0
 18359, 99094,20180710,  143,    0
 18359, 99094,20180711,  119,    0
 18359, 99094,20180712,  154,    0
 18359, 99094,20180713,   98,    0
 18359, 99094,20180714,   99,    0
 18359, 99094,20180715,  106,    0
 18359, 99094,20180716,  152,    0
 18359, 99094,20180717,  182,    0
 18359, 99094,20180718,  195,    0
 18359, 99094,20180719,  273,    0
 18359, 99094,20180720,  192,    0
 18359, 99094,20180721,  138,    0
 18359, 99094,20180722,  160,    0
 18359, 99094,20180723,  139,    0
