EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-11-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : Mean temperature in 0.1 &#176;C
30-34 Q_TG : quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FV863 GAMNES, NORWAY (STAID: 18375)
Blended and updated with sources:99118 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TG, Q_TG
 18375, 99118,20150301,-9999,    9
 18375, 99118,20150302,-9999,    9
 18375, 99118,20150303,-9999,    9
 18375, 99118,20150304,-9999,    9
 18375, 99118,20150305,-9999,    9
 18375, 99118,20150306,-9999,    9
 18375, 99118,20150307,-9999,    9
 18375, 99118,20150308,-9999,    9
 18375, 99118,20150309,-9999,    9
 18375, 99118,20150310,-9999,    9
 18375, 99118,20150311,-9999,    9
 18375, 99118,20150312,-9999,    9
 18375, 99118,20150313,-9999,    9
 18375, 99118,20150314,-9999,    9
 18375, 99118,20150315,-9999,    9
 18375, 99118,20150316,-9999,    9
 18375, 99118,20150317,-9999,    9
 18375, 99118,20150318,-9999,    9
 18375, 99118,20150319,-9999,    9
 18375, 99118,20150320,-9999,    9
 18375, 99118,20150321,-9999,    9
 18375, 99118,20150322,-9999,    9
 18375, 99118,20150323,-9999,    9
 18375, 99118,20150324,-9999,    9
 18375, 99118,20150325,-9999,    9
 18375, 99118,20150326,-9999,    9
 18375, 99118,20150327,-9999,    9
 18375, 99118,20150328,-9999,    9
 18375, 99118,20150329,-9999,    9
 18375, 99118,20150330,   35,    0
 18375, 99118,20150331,-9999,    9
 18375, 99118,20150401,-9999,    9
 18375, 99118,20150402,-9999,    9
 18375, 99118,20150403,-9999,    9
 18375, 99118,20150404,-9999,    9
 18375, 99118,20150405,-9999,    9
 18375, 99118,20150406,-9999,    9
 18375, 99118,20150407,-9999,    9
 18375, 99118,20150408,   30,    0
 18375, 99118,20150409,   24,    0
 18375, 99118,20150410,   18,    0
 18375, 99118,20150411,   15,    0
 18375, 99118,20150412,   27,    0
 18375, 99118,20150413,-9999,    9
 18375, 99118,20150414,-9999,    9
 18375, 99118,20150415,-9999,    9
 18375, 99118,20150416,-9999,    9
 18375, 99118,20150417,-9999,    9
 18375, 99118,20150418,-9999,    9
 18375, 99118,20150419,-9999,    9
 18375, 99118,20150420,-9999,    9
 18375, 99118,20150421,-9999,    9
 18375, 99118,20150422,-9999,    9
 18375, 99118,20150423,-9999,    9
 18375, 99118,20150424,-9999,    9
 18375, 99118,20150425,-9999,    9
 18375, 99118,20150426,-9999,    9
 18375, 99118,20150427,-9999,    9
 18375, 99118,20150428,-9999,    9
 18375, 99118,20150429,-9999,    9
 18375, 99118,20150430,-9999,    9
 18375, 99118,20150501,-9999,    9
 18375, 99118,20150502,-9999,    9
 18375, 99118,20150503,-9999,    9
 18375, 99118,20150504,-9999,    9
 18375, 99118,20150505,-9999,    9
 18375, 99118,20150506,-9999,    9
 18375, 99118,20150507,-9999,    9
 18375, 99118,20150508,-9999,    9
 18375, 99118,20150509,-9999,    9
 18375, 99118,20150510,-9999,    9
 18375, 99118,20150511,-9999,    9
 18375, 99118,20150512,-9999,    9
 18375, 99118,20150513,   80,    0
 18375, 99118,20150514,   41,    0
 18375, 99118,20150515,-9999,    9
 18375, 99118,20150516,   35,    0
 18375, 99118,20150517,-9999,    9
 18375, 99118,20150518,   71,    0
 18375, 99118,20150519,   65,    0
 18375, 99118,20150520,   67,    0
 18375, 99118,20150521,   59,    0
 18375, 99118,20150522,   82,    0
 18375, 99118,20150523,   48,    0
 18375, 99118,20150524,   39,    0
 18375, 99118,20150525,   41,    0
 18375, 99118,20150526,-9999,    9
 18375, 99118,20150527,-9999,    9
 18375, 99118,20150528,-9999,    9
 18375, 99118,20150529,-9999,    9
 18375, 99118,20150530,   93,    0
 18375, 99118,20150531,  109,    0
 18375, 99118,20150601,  123,    0
 18375, 99118,20150602,-9999,    9
 18375, 99118,20150603,   70,    0
